Namespace(adv_steps=5, att_size=85, batch_size=512, beta1=0.5, class_embedding='att', classifier_lr=0.001, cls_weight=0.01, critic_iter=5, cuda=True, dataroot='/data0/docker/xingyun/mmcgan/data', dataset='AWA1', drop_rate=0.2, epsilon=0.0625, fusion_iter=2, gzsl=True, hfSize=512, image_embedding='res101', lambda1=10.0, lr=1e-05, manualSeed=None, matdataset=True, nclass_all=50, dis_hu=4096, nepoch=200, netD='', netD_name='MLP_CRITIC', netG='', netG_name='MLP_G', gen_hu=4096, ngpu=1, nrh1=1024, nrh2=512, nrh3=256, nrh4=128, ntrain_class=40, nz=85, outf='./checkpoint/', outname='awa', preprocessing=True, pretrain_classifier='', print_every=1, r_hl=4, r_weight=1, res_size=2048, save_every=100, standardization=False, start_epoch=0, syn_num=3200, triple_batch_size=128, val_every=1, validation=False, workers=2)
Random Seed:  7801
# of training samples:  19832
MLP_G(
  (fc1): Linear(in_features=170, out_features=4096)
  (fc2): Linear(in_features=4096, out_features=2048)
  (lrelu): LeakyReLU(0.2, inplace)
  (relu): ReLU(inplace)
)
robDis(
  (fc1): Linear(in_features=2133, out_features=4096)
  (bin): Linear(in_features=4096, out_features=1)
  (multi): Linear(in_features=4096, out_features=40)
  (relu): ReLU(inplace)
)
MLP_4HL_Dropout_R(
  (fc1): Linear(in_features=2048, out_features=1024)
  (fc2): Linear(in_features=1024, out_features=512)
  (fc3): Linear(in_features=512, out_features=256)
  (fc4): Linear(in_features=256, out_features=128)
  (fc5): Linear(in_features=128, out_features=85)
  (relu): ReLU(inplace)
  (lrelu): LeakyReLU(0.2, inplace)
  (dropout): Dropout(p=0.2)
)
EPOCH          |  D_cost  |  G_cost  |  R_cost  |  ACC_unseen  |  ACC_seen  |    H    |
[ 43 /200 ]    |  0.9979  |  0.6189  |  0.9463  |    0.4890    |   0.6548   | 0.5599  |
[ 44 /200 ]    |  1.0098  |  0.6244  |  0.9462  |    0.4928    |   0.6504   | 0.5607  |
[ 45 /200 ]    |  1.0011  |  0.6096  |  0.9471  |    0.4962    |   0.6527   | 0.5638  |
[ 46 /200 ]    |  1.0005  |  0.5937  |  0.9472  |    0.5330    |   0.6075   | 0.5678  |
[ 47 /200 ]    |  0.9923  |  0.6063  |  0.9468  |    0.4997    |   0.6480   | 0.5643  |
[ 48 /200 ]    |  0.9988  |  0.5975  |  0.9489  |    0.5347    |   0.6080   | 0.5690  |
[ 49 /200 ]    |  0.9860  |  0.6085  |  0.9483  |    0.5132    |   0.6444   | 0.5714  |
[ 50 /200 ]    |  0.9805  |  0.6017  |  0.9507  |    0.4935    |   0.6817   | 0.5726  |
[ 51 /200 ]    |  0.9858  |  0.6002  |  0.9496  |    0.5139    |   0.6347   | 0.5680  |
[ 52 /200 ]    |  0.9730  |  0.5891  |  0.9516  |    0.5146    |   0.6434   | 0.5718  |
[ 53 /200 ]    |  0.9907  |  0.5934  |  0.9520  |    0.5222    |   0.6424   | 0.5761  |
[ 54 /200 ]    |  0.9788  |  0.5916  |  0.9506  |    0.5129    |   0.6367   | 0.5682  |
[ 55 /200 ]    |  0.9843  |  0.5782  |  0.9518  |    0.5059    |   0.6676   | 0.5756  |
[ 56 /200 ]    |  0.9745  |  0.5874  |  0.9496  |    0.5068    |   0.6440   | 0.5672  |
[ 57 /200 ]    |  0.9779  |  0.5914  |  0.9529  |    0.5110    |   0.6463   | 0.5707  |
[ 58 /200 ]    |  0.9806  |  0.5732  |  0.9534  |    0.5312    |   0.6391   | 0.5802  |
[ 59 /200 ]    |  0.9664  |  0.5783  |  0.9533  |    0.5060    |   0.6715   | 0.5771  |
[ 60 /200 ]    |  0.9570  |  0.5821  |  0.9540  |    0.5102    |   0.6759   | 0.5815  |
[ 61 /200 ]    |  0.9682  |  0.5824  |  0.9545  |    0.5257    |   0.6409   | 0.5776  |
[ 62 /200 ]    |  0.9638  |  0.5678  |  0.9546  |    0.5232    |   0.6355   | 0.5739  |
[ 63 /200 ]    |  0.9595  |  0.5711  |  0.9554  |    0.5038    |   0.6723   | 0.5760  |
