Namespace(attSize=102, batch_size=512, bc=False, beta1=0.5, class_embedding='att', classifier_lr=0.001, cls_weight=0.01, consistency_weight=1, critic_iter=5, cuda=True, dataroot='/data0/docker/xingyun/mmcgan/data', dataset='SUN', drop_rate=0.2, gzsl=True, image_embedding='res101', lambda1=10.0, lr=0.0002, manualSeed=4115, matdataset=True, nclass_all=717, ndh=4096, nepoch=300, netD='', netD_name='MLP_CRITIC', netG='', netG_name='MLP_G', ngh=4096, ngpu=1, njh=170, nrgh=4096, nrgh1=1024, nrgh2=512, nrgh3=256, nrgh4=128, nrh=4096, nrh1=1024, nrh2=512, nrh3=256, nrh4=128, nz=102, outf='./checkpoint/', outname='sun', preprocessing=True, pretrain_classifier='', print_every=1, r_hl=4, r_iteration=3, r_nz=2048, r_path='/home/xingyun/docker/mmcgan/r_param', r_weight=1, resSize=2048, reverse_iter=5, rg_hl=1, save_every=100, standardization=False, start_epoch=0, syn_num=1000, val_every=1, validation=False, workers=2)
Random Seed:  4115
# of training samples:  10320
MLP_G(
  (fc1): Linear(in_features=204, out_features=4096)
  (fc2): Linear(in_features=4096, out_features=2048)
  (lrelu): LeakyReLU(0.2, inplace)
  (relu): ReLU(inplace)
)
MLP_CRITIC(
  (fc1): Linear(in_features=2150, out_features=4096)
  (fc2): Linear(in_features=4096, out_features=1)
  (lrelu): LeakyReLU(0.2, inplace)
)
MLP_4HL_Dropout_R(
  (fc1): Linear(in_features=2048, out_features=1024)
  (fc2): Linear(in_features=1024, out_features=512)
  (fc3): Linear(in_features=512, out_features=256)
  (fc4): Linear(in_features=256, out_features=128)
  (fc5): Linear(in_features=128, out_features=102)
  (relu): ReLU(inplace)
  (lrelu): LeakyReLU(0.2, inplace)
  (dropout): Dropout(p=0.2)
)
EPOCH          |  D_cost  |  G_cost  |  R_cost  |  Wasserstein_D  |  ACC_unseen  |  ACC_seen  |    H    |
[ 1  /300 ]    | -1.2033  | -0.3254  |  0.6953  |     1.2585      |    0.0333    |   0.1430   | 0.0541  |
[ 2  /300 ]    | -1.7793  | -0.1387  |  0.8038  |     1.9274      |    0.0701    |   0.1477   | 0.0951  |
[ 3  /300 ]    | -1.4516  | -0.1923  |  0.8121  |     1.5149      |    0.0861    |   0.1620   | 0.1125  |
[ 4  /300 ]    | -1.0561  | -0.0974  |  0.7781  |     1.1294      |    0.1250    |   0.2128   | 0.1575  |
[ 5  /300 ]    | -0.6518  | -0.3268  |  0.7827  |     0.8579      |    0.1611    |   0.2624   | 0.1996  |
[ 6  /300 ]    | -0.8112  |  0.1826  |  0.8379  |     0.8356      |    0.1729    |   0.2930   | 0.2175  |
[ 7  /300 ]    | -0.7869  | -0.2867  |  0.8516  |     0.8155      |    0.2271    |   0.2721   | 0.2476  |
[ 8  /300 ]    | -0.7454  | -0.1552  |  0.8673  |     0.7759      |    0.2292    |   0.2725   | 0.2490  |
[ 9  /300 ]    | -0.7482  | -0.3305  |  0.8721  |     0.7748      |    0.2694    |   0.2636   | 0.2665  |
[ 10 /300 ]    | -0.6998  | -0.3222  |  0.8807  |     0.7306      |    0.2639    |   0.2818   | 0.2725  |
[ 11 /300 ]    | -0.6979  | -0.3165  |  0.8843  |     0.7191      |    0.3000    |   0.2698   | 0.2841  |
[ 12 /300 ]    | -0.6935  | -0.2598  |  0.9043  |     0.7096      |    0.2965    |   0.2783   | 0.2871  |
[ 13 /300 ]    | -0.6980  | -0.2945  |  0.9075  |     0.7396      |    0.3042    |   0.2826   | 0.2930  |
[ 14 /300 ]    | -0.6946  | -0.3701  |  0.9129  |     0.7304      |    0.3326    |   0.2787   | 0.3033  |
[ 15 /300 ]    | -0.7691  |  0.5032  |  0.9108  |     0.7809      |    0.2750    |   0.3171   | 0.2945  |
