Namespace(adv_steps=5, attSize=85, batch_size=1024, beta1=0.5, class_embedding='att', classifier_lr=0.001, cls_weight=0.01, critic_iter=5, cuda=True, dataroot='/data0/docker/xingyun/mmcgan/data', dataset='AWA2', drop_rate=0.2, epsilon=0.0625, fusion_iter=2, gzsl=True, hfSize=512, image_embedding='res101', lambda1=10.0, lr=1e-05, manualSeed=None, matdataset=True, nclass_all=50, ndh=4096, nepoch=200, netD='', netD_name='MLP_CRITIC', netG='', netG_name='MLP_G', ngh=4096, ngpu=1, nrh1=1024, nrh2=512, nrh3=256, nrh4=128, ntrain_class=40, nz=85, outf='./checkpoint/', outname='awa2', preprocessing=True, pretrain_classifier='', print_every=1, r_hl=4, r_weight=1, resSize=2048, save_every=100, standardization=False, start_epoch=0, syn_num=2000, triple_batch_size=128, val_every=1, validation=False, workers=2)
Random Seed:  7128
# of training samples:  23527
MLP_G(
  (fc1): Linear(in_features=170, out_features=4096)
  (fc2): Linear(in_features=4096, out_features=2048)
  (lrelu): LeakyReLU(0.2, inplace)
  (relu): ReLU(inplace)
)
robDis(
  (fc1): Linear(in_features=2133, out_features=4096)
  (bin): Linear(in_features=4096, out_features=1)
  (multi): Linear(in_features=4096, out_features=40)
  (relu): ReLU(inplace)
)
MLP_4HL_Dropout_R(
  (fc1): Linear(in_features=2048, out_features=1024)
  (fc2): Linear(in_features=1024, out_features=512)
  (fc3): Linear(in_features=512, out_features=256)
  (fc4): Linear(in_features=256, out_features=128)
  (fc5): Linear(in_features=128, out_features=85)
  (relu): ReLU(inplace)
  (lrelu): LeakyReLU(0.2, inplace)
  (dropout): Dropout(p=0.2)
)
EPOCH          |  D_cost  |  G_cost  |  R_cost  |  ACC_unseen  |  ACC_seen  |    H    |
[ 43 /200 ]    |  1.0767  |  0.7307  |  0.9234  |    0.4107    |   0.6139   | 0.4922  |
[ 44 /200 ]    |  1.0676  |  0.7508  |  0.9254  |    0.3712    |   0.7049   | 0.4863  |
[ 45 /200 ]    |  1.0471  |  0.7357  |  0.9254  |    0.4099    |   0.5990   | 0.4867  |
[ 46 /200 ]    |  1.0569  |  0.7285  |  0.9269  |    0.4017    |   0.6121   | 0.4851  |
[ 47 /200 ]    |  1.0638  |  0.7153  |  0.9294  |    0.4363    |   0.6104   | 0.5089  |
[ 48 /200 ]    |  1.0436  |  0.7067  |  0.9288  |    0.4143    |   0.6034   | 0.4913  |
[ 49 /200 ]    |  1.0398  |  0.6956  |  0.9305  |    0.4364    |   0.5936   | 0.5030  |
[ 50 /200 ]    |  1.0418  |  0.6990  |  0.9323  |    0.4155    |   0.5887   | 0.4871  |
[ 51 /200 ]    |  1.0379  |  0.6853  |  0.9342  |    0.4115    |   0.6139   | 0.4927  |
[ 52 /200 ]    |  1.0252  |  0.6755  |  0.9339  |    0.4631    |   0.5863   | 0.5175  |
[ 53 /200 ]    |  1.0339  |  0.6727  |  0.9342  |    0.4601    |   0.5989   | 0.5204  |
[ 54 /200 ]    |  1.0214  |  0.6663  |  0.9361  |    0.4391    |   0.5849   | 0.5016  |
[ 55 /200 ]    |  1.0201  |  0.6658  |  0.9368  |    0.4844    |   0.5907   | 0.5323  |
[ 56 /200 ]    |  1.0203  |  0.6607  |  0.9365  |    0.4561    |   0.5999   | 0.5182  |
[ 57 /200 ]    |  1.0094  |  0.6601  |  0.9395  |    0.4664    |   0.5839   | 0.5186  |
[ 58 /200 ]    |  1.0126  |  0.6484  |  0.9408  |    0.4463    |   0.5870   | 0.5071  |
[ 59 /200 ]    |  1.0083  |  0.6561  |  0.9393  |    0.4477    |   0.5784   | 0.5047  |
[ 60 /200 ]    |  0.9999  |  0.6472  |  0.9403  |    0.4780    |   0.5859   | 0.5265  |
[ 61 /200 ]    |  0.9973  |  0.6315  |  0.9411  |    0.4115    |   0.6809   | 0.5130  |
[ 62 /200 ]    |  0.9980  |  0.6374  |  0.9403  |    0.4930    |   0.5704   | 0.5289  |
[ 63 /200 ]    |  0.9990  |  0.6268  |  0.9423  |    0.4789    |   0.5826   | 0.5257  |
[ 64 /200 ]    |  0.9939  |  0.6287  |  0.9436  |    0.4953    |   0.5808   | 0.5347  |
[ 65 /200 ]    |  0.9890  |  0.6249  |  0.9439  |    0.5016    |   0.5807   | 0.5383  |
[ 66 /200 ]    |  0.9889  |  0.6130  |  0.9439  |    0.4803    |   0.5887   | 0.5290  |
[ 67 /200 ]    |  0.9816  |  0.6194  |  0.9444  |    0.4964    |   0.5835   | 0.5364  |
[ 68 /200 ]    |  0.9828  |  0.6089  |  0.9450  |    0.4753    |   0.5768   | 0.5212  |
[ 69 /200 ]    |  0.9856  |  0.6140  |  0.9466  |    0.4886    |   0.5785   | 0.5298  |
[ 70 /200 ]    |  0.9740  |  0.6050  |  0.9471  |    0.4993    |   0.5788   | 0.5361  |
[ 71 /200 ]    |  0.9777  |  0.6063  |  0.9463  |    0.4972    |   0.5585   | 0.5261  |
[ 72 /200 ]    |  0.9688  |  0.6005  |  0.9472  |    0.4889    |   0.5820   | 0.5314  |
[ 73 /200 ]    |  0.9787  |  0.6033  |  0.9463  |    0.5122    |   0.5645   | 0.5371  |
[ 74 /200 ]    |  0.9700  |  0.6072  |  0.9483  |    0.4858    |   0.5831   | 0.5300  |
[ 75 /200 ]    |  0.9741  |  0.6007  |  0.9477  |    0.5226    |   0.5843   | 0.5518  |
[ 76 /200 ]    |  0.9772  |  0.6012  |  0.9484  |    0.5043    |   0.5861   | 0.5421  |
[ 77 /200 ]    |  0.9677  |  0.6057  |  0.9490  |    0.5108    |   0.5823   | 0.5443  |
[ 78 /200 ]    |  0.9685  |  0.5951  |  0.9490  |    0.4910    |   0.5785   | 0.5312  |
