Namespace(att_size=64, batch_size=512, bc=False, beta1=0.5, class_embedding='att', classifier_lr=0.001, cls_weight=0.01, consistency_weight=1, critic_iter=5, cuda=True, dataroot='/data0/docker/xingyun/mmcgan/data', dataset='APY', drop_rate=0.2, gzsl=True, image_embedding='res101', lambda1=10.0, lr=1e-05, manualSeed=1995, matdataset=True, nclass_all=32, dis_hu=4096, nepoch=300, netD='', netD_name='MLP_CRITIC', netG='', netG_name='MLP_G', gen_hu=4096, ngpu=1, nrh=4096, nrh1=1024, nrh2=512, nrh3=256, nrh4=128, nz=64, outf='./checkpoint/', outname='apy', preprocessing=True, pretrain_classifier='', print_every=1, r_hl=2, r_iteration=3, r_nz=2048, r_path='/home/xingyun/docker/mmcgan/r_param', r_weight=1, res_size=2048, reverse_iter=5, rg_hl=1, save_every=100, standardization=False, start_epoch=0, syn_num=1500, val_every=1, validation=False, workers=2)
Random Seed:  1995
# of training samples:  5932
MLP_G(
  (fc1): Linear(in_features=128, out_features=4096)
  (fc2): Linear(in_features=4096, out_features=2048)
  (lrelu): LeakyReLU(0.2, inplace)
  (relu): ReLU(inplace)
)
MLP_CRITIC(
  (fc1): Linear(in_features=2112, out_features=4096)
  (fc2): Linear(in_features=4096, out_features=1)
  (lrelu): LeakyReLU(0.2, inplace)
)
MLP_2HL_Dropout_R(
  (fc1): Linear(in_features=2048, out_features=1024)
  (fc2): Linear(in_features=1024, out_features=512)
  (fc3): Linear(in_features=512, out_features=64)
  (relu): ReLU(inplace)
  (lrelu): LeakyReLU(0.2, inplace)
  (dropout): Dropout(p=0.2)
)
EPOCH          |  D_cost  |  G_cost  |  R_cost  |  Wasserstein_D  |  ACC_unseen  |  ACC_seen  |    H    |
[ 38 /300 ]    | -2.2002  |  0.2434  |  0.8857  |     2.3276      |    0.2154    |   0.3989   | 0.2797  |
[ 39 /300 ]    | -2.1984  |  0.2353  |  0.8823  |     2.3241      |    0.1950    |   0.3727   | 0.2560  |
[ 40 /300 ]    | -2.1814  |  0.2150  |  0.8913  |     2.3088      |    0.1986    |   0.3698   | 0.2584  |
[ 41 /300 ]    | -2.1864  |  0.1912  |  0.8921  |     2.3071      |    0.2237    |   0.3464   | 0.2718  |
[ 42 /300 ]    | -2.1934  |  0.1836  |  0.8924  |     2.3194      |    0.2329    |   0.3653   | 0.2844  |
[ 43 /300 ]    | -2.1196  |  0.1624  |  0.9015  |     2.2355      |    0.1386    |   0.3544   | 0.1992  |
[ 44 /300 ]    | -2.1258  |  0.1512  |  0.9049  |     2.2366      |    0.2107    |   0.3514   | 0.2634  |
[ 45 /300 ]    | -2.1042  |  0.1152  |  0.9046  |     2.2156      |    0.1431    |   0.3618   | 0.2050  |
[ 46 /300 ]    | -2.0622  |  0.1077  |  0.9108  |     2.1762      |    0.2287    |   0.3404   | 0.2736  |
[ 47 /300 ]    | -2.0611  |  0.0607  |  0.9057  |     2.1655      |    0.1574    |   0.4914   | 0.2385  |
[ 48 /300 ]    | -2.0561  |  0.0503  |  0.9109  |     2.1653      |    0.2124    |   0.4910   | 0.2965  |
[ 49 /300 ]    | -2.0254  |  0.0245  |  0.9121  |     2.1261      |    0.1670    |   0.4841   | 0.2484  |
[ 50 /300 ]    | -1.9849  | -0.0072  |  0.9113  |     2.0831      |    0.1977    |   0.4810   | 0.2802  |
[ 51 /300 ]    | -1.9389  | -0.0089  |  0.9173  |     2.0320      |    0.1798    |   0.4788   | 0.2615  |
[ 52 /300 ]    | -1.9122  | -0.0515  |  0.9191  |     2.0005      |    0.2061    |   0.4563   | 0.2840  |
[ 53 /300 ]    | -1.8840  | -0.0868  |  0.9255  |     1.9707      |    0.2079    |   0.4637   | 0.2871  |
[ 54 /300 ]    | -1.8912  | -0.0790  |  0.9232  |     1.9771      |    0.2246    |   0.4495   | 0.2995  |
[ 55 /300 ]    | -1.7985  | -0.1288  |  0.9281  |     1.8814      |    0.1896    |   0.5443   | 0.2812  |
[ 56 /300 ]    | -1.8182  | -0.1674  |  0.9263  |     1.9014      |    0.2200    |   0.4302   | 0.2911  |
[ 57 /300 ]    | -1.7602  | -0.1796  |  0.9327  |     1.8422      |    0.2385    |   0.4096   | 0.3015  |
[ 58 /300 ]    | -1.7374  | -0.2121  |  0.9357  |     1.8104      |    0.2542    |   0.4265   | 0.3185  |
[ 59 /300 ]    | -1.7234  | -0.2175  |  0.9349  |     1.7971      |    0.2184    |   0.5286   | 0.3091  |
[ 60 /300 ]    | -1.6814  | -0.2493  |  0.9342  |     1.7532      |    0.2120    |   0.3982   | 0.2767  |
[ 61 /300 ]    | -1.6414  | -0.2653  |  0.9373  |     1.7069      |    0.2329    |   0.3878   | 0.2910  |
[ 62 /300 ]    | -1.6345  | -0.3015  |  0.9349  |     1.7026      |    0.2667    |   0.4942   | 0.3464  |
[ 63 /300 ]    | -1.5962  | -0.3356  |  0.9375  |     1.6626      |    0.2561    |   0.4902   | 0.3365  |
[ 64 /300 ]    | -1.5593  | -0.3614  |  0.9358  |     1.6177      |    0.2202    |   0.4707   | 0.3001  |
[ 65 /300 ]    | -1.5270  | -0.3963  |  0.9411  |     1.5842      |    0.2667    |   0.4702   | 0.3404  |
[ 66 /300 ]    | -1.4836  | -0.3897  |  0.9429  |     1.5398      |    0.2040    |   0.4590   | 0.2824  |
[ 67 /300 ]    | -1.4894  | -0.4191  |  0.9395  |     1.5435      |    0.2112    |   0.4494   | 0.2873  |
[ 68 /300 ]    | -1.4612  | -0.4613  |  0.9427  |     1.5175      |    0.2353    |   0.5413   | 0.3280  |
[ 69 /300 ]    | -1.4063  | -0.4837  |  0.9437  |     1.4622      |    0.2407    |   0.4525   | 0.3142  |
[ 70 /300 ]    | -1.3790  | -0.5006  |  0.9482  |     1.4280      |    0.2544    |   0.5228   | 0.3423  |
[ 71 /300 ]    | -1.3617  | -0.5357  |  0.9475  |     1.4096      |    0.2306    |   0.6011   | 0.3334  |
[ 72 /300 ]    | -1.3571  | -0.5583  |  0.9439  |     1.4073      |    0.2799    |   0.4326   | 0.3399  |
[ 73 /300 ]    | -1.3230  | -0.5571  |  0.9445  |     1.3685      |    0.2334    |   0.6389   | 0.3419  |
[ 74 /300 ]    | -1.3176  | -0.5941  |  0.9464  |     1.3653      |    0.2340    |   0.5724   | 0.3321  |
[ 75 /300 ]    | -1.2923  | -0.6040  |  0.9505  |     1.3367      |    0.2634    |   0.5101   | 0.3474  |
[ 76 /300 ]    | -1.2801  | -0.6170  |  0.9469  |     1.3270      |    0.2729    |   0.5700   | 0.3691  |
[ 77 /300 ]    | -1.2623  | -0.6411  |  0.9447  |     1.3035      |    0.2561    |   0.5646   | 0.3524  |
[ 78 /300 ]    | -1.2617  | -0.6738  |  0.9446  |     1.3029      |    0.2499    |   0.4938   | 0.3319  |
