Namespace(attSize=312, batch_size=512, bc=False, beta1=0.5, class_embedding='att', classifier_lr=0.001, cls_weight=0.01, consistency_weight=1, critic_iter=5, cuda=True, dataroot='/data0/docker/xingyun/mmcgan/data', dataset='CUB', drop_rate=0.2, gzsl=True, image_embedding='res101', lambda1=10.0, lr=0.0001, manualSeed=3483, matdataset=True, nclass_all=200, ndh=4096, nepoch=300, netD='', netD_name='MLP_CRITIC', netG='', netG_name='MLP_G', ngh=4096, ngpu=1, njh=170, nrgh=4096, nrgh1=1024, nrgh2=512, nrgh3=256, nrgh4=128, nrh=4096, nrh1=1024, nrh2=512, nrh3=256, nrh4=128, nz=312, outf='./checkpoint/', outname='cub', preprocessing=True, pretrain_classifier='', print_every=1, r_hl=3, r_iteration=3, r_nz=2048, r_path='/home/xingyun/docker/mmcgan/r_param', r_weight=1, resSize=2048, reverse_iter=5, rg_hl=1, save_every=100, standardization=False, start_epoch=0, syn_num=700, val_every=1, validation=False, workers=2)
Random Seed:  3483
# of training samples:  7057
MLP_G(
  (fc1): Linear(in_features=624, out_features=4096)
  (fc2): Linear(in_features=4096, out_features=2048)
  (lrelu): LeakyReLU(0.2, inplace)
  (relu): ReLU(inplace)
)
MLP_CRITIC(
  (fc1): Linear(in_features=2360, out_features=4096)
  (fc2): Linear(in_features=4096, out_features=1)
  (lrelu): LeakyReLU(0.2, inplace)
)
MLP_3HL_Dropout_R(
  (fc1): Linear(in_features=2048, out_features=1024)
  (fc2): Linear(in_features=1024, out_features=512)
  (fc3): Linear(in_features=512, out_features=256)
  (fc4): Linear(in_features=256, out_features=312)
  (relu): ReLU(inplace)
  (lrelu): LeakyReLU(0.2, inplace)
  (dropout): Dropout(p=0.2)
)
EPOCH          |  D_cost  |  G_cost  |  R_cost  |  Wasserstein_D  |  ACC_unseen  |  ACC_seen  |    H    |
[ 1  /300 ]    | -0.6820  | -0.1413  |  0.6588  |     0.6915      |    0.0153    |   0.0903   | 0.0261  |
[ 2  /300 ]    | -1.2099  | -0.3356  |  0.7044  |     1.2206      |    0.0142    |   0.3617   | 0.0273  |
[ 3  /300 ]    | -1.6174  | -0.4376  |  0.7182  |     1.6479      |    0.0133    |   0.4807   | 0.0260  |
[ 4  /300 ]    | -1.9742  | -0.2343  |  0.7250  |     2.0379      |    0.0306    |   0.2812   | 0.0553  |
[ 5  /300 ]    | -2.1288  | -0.3123  |  0.7326  |     2.2459      |    0.0384    |   0.3419   | 0.0691  |
[ 6  /300 ]    | -2.2310  | -0.3976  |  0.7411  |     2.3545      |    0.0477    |   0.1721   | 0.0747  |
[ 7  /300 ]    | -2.2952  | -0.4399  |  0.7423  |     2.4447      |    0.0447    |   0.1530   | 0.0691  |
[ 8  /300 ]    | -2.3278  | -0.5105  |  0.7462  |     2.4328      |    0.0726    |   0.1350   | 0.0944  |
[ 9  /300 ]    | -2.2674  | -0.5117  |  0.7544  |     2.3696      |    0.0931    |   0.1211   | 0.1053  |
[ 10 /300 ]    | -2.2042  | -0.4631  |  0.7511  |     2.3376      |    0.0694    |   0.3227   | 0.1143  |
[ 11 /300 ]    | -2.1298  | -0.4956  |  0.7635  |     2.2215      |    0.0767    |   0.2633   | 0.1188  |
[ 12 /300 ]    | -2.0693  | -0.5540  |  0.7651  |     2.1602      |    0.1137    |   0.2340   | 0.1531  |
[ 13 /300 ]    | -1.9733  | -0.4223  |  0.7657  |     2.0690      |    0.1040    |   0.3390   | 0.1591  |
[ 14 /300 ]    | -1.8630  | -0.5265  |  0.7788  |     1.9217      |    0.1386    |   0.2930   | 0.1881  |
[ 15 /300 ]    | -1.8246  | -0.5208  |  0.7994  |     1.9123      |    0.1399    |   0.3676   | 0.2027  |
[ 16 /300 ]    | -1.7380  | -0.4398  |  0.8098  |     1.8008      |    0.1517    |   0.4198   | 0.2229  |
[ 17 /300 ]    | -1.6543  | -0.3696  |  0.8272  |     1.7251      |    0.1787    |   0.3794   | 0.2430  |
[ 18 /300 ]    | -1.6120  | -0.3749  |  0.8295  |     1.6600      |    0.2008    |   0.4059   | 0.2687  |
[ 19 /300 ]    | -1.5456  | -0.3252  |  0.8416  |     1.5906      |    0.1991    |   0.4829   | 0.2820  |
[ 20 /300 ]    | -1.4763  | -0.3078  |  0.8506  |     1.5289      |    0.2315    |   0.4290   | 0.3007  |
[ 21 /300 ]    | -1.4584  | -0.3565  |  0.8607  |     1.5055      |    0.2286    |   0.4878   | 0.3113  |
[ 22 /300 ]    | -1.4095  | -0.2125  |  0.8679  |     1.4506      |    0.2505    |   0.4282   | 0.3161  |
