Namespace(att_size=312, batch_size=512, bc=False, beta1=0.5, class_embedding='att', classifier_lr=0.001, cls_weight=0.01, consistency_weight=1, critic_iter=5, cuda=True, dataroot='/data0/docker/xingyun/mmcgan/data', dataset='CUB', drop_rate=0.2, gzsl=True, image_embedding='res101', lambda1=10.0, lr=0.0001, manualSeed=3483, matdataset=True, nclass_all=200, dis_hu=4096, nepoch=300, netD='', netD_name='MLP_CRITIC', netG='', netG_name='MLP_G', gen_hu=4096, ngpu=1, njh=170, nrgh=4096, nrgh1=1024, nrgh2=512, nrgh3=256, nrgh4=128, nrh=4096, nrh1=1024, nrh2=512, nrh3=256, nrh4=128, nz=312, outf='./checkpoint/', outname='cub', preprocessing=True, pretrain_classifier='', print_every=1, r_hl=3, r_iteration=3, r_nz=2048, r_path='/home/xingyun/docker/mmcgan/r_param', r_weight=1, res_size=2048, reverse_iter=5, rg_hl=1, save_every=100, standardization=False, start_epoch=0, syn_num=600, val_every=1, validation=False, workers=2)
Random Seed:  3483
# of training samples:  7057
MLP_G(
  (fc1): Linear(in_features=624, out_features=4096)
  (fc2): Linear(in_features=4096, out_features=2048)
  (lrelu): LeakyReLU(0.2, inplace)
  (relu): ReLU(inplace)
)
MLP_CRITIC(
  (fc1): Linear(in_features=2360, out_features=4096)
  (fc2): Linear(in_features=4096, out_features=1)
  (lrelu): LeakyReLU(0.2, inplace)
)
MLP_3HL_Dropout_R(
  (fc1): Linear(in_features=2048, out_features=1024)
  (fc2): Linear(in_features=1024, out_features=512)
  (fc3): Linear(in_features=512, out_features=256)
  (fc4): Linear(in_features=256, out_features=312)
  (relu): ReLU(inplace)
  (lrelu): LeakyReLU(0.2, inplace)
  (dropout): Dropout(p=0.2)
)
EPOCH          |  D_cost  |  G_cost  |  R_cost  |  Wasserstein_D  |  ACC_unseen  |  ACC_seen  |    H    |
[ 37 /300 ]    | -1.1966  | -0.3483  |  0.9138  |     1.2360      |    0.3310    |   0.5459   | 0.4121  |
[ 38 /300 ]    | -1.1511  | -0.2369  |  0.9101  |     1.1948      |    0.3483    |   0.5166   | 0.4160  |
[ 39 /300 ]    | -1.1663  | -0.3697  |  0.9155  |     1.2071      |    0.3372    |   0.5581   | 0.4204  |
[ 40 /300 ]    | -1.1543  | -0.2861  |  0.9133  |     1.1996      |    0.3750    |   0.4802   | 0.4211  |
[ 41 /300 ]    | -1.1647  | -0.3341  |  0.9181  |     1.2066      |    0.3368    |   0.5556   | 0.4194  |
[ 42 /300 ]    | -1.1331  | -0.3422  |  0.9209  |     1.1761      |    0.3532    |   0.5256   | 0.4225  |
[ 43 /300 ]    | -1.1211  | -0.3668  |  0.9213  |     1.1627      |    0.3547    |   0.5310   | 0.4253  |
[ 44 /300 ]    | -1.1336  | -0.4568  |  0.9229  |     1.1786      |    0.3568    |   0.5144   | 0.4214  |
[ 45 /300 ]    | -1.1385  | -0.4616  |  0.9239  |     1.1821      |    0.3684    |   0.5174   | 0.4303  |
[ 46 /300 ]    | -1.1265  | -0.4953  |  0.9235  |     1.1670      |    0.3521    |   0.5334   | 0.4242  |
[ 47 /300 ]    | -1.1049  | -0.5505  |  0.9287  |     1.1515      |    0.3607    |   0.5336   | 0.4304  |
[ 48 /300 ]    | -1.0903  | -0.4982  |  0.9261  |     1.1309      |    0.3652    |   0.5411   | 0.4361  |
[ 49 /300 ]    | -1.0946  | -0.4957  |  0.9292  |     1.1343      |    0.3703    |   0.5306   | 0.4362  |
[ 50 /300 ]    | -1.0921  | -0.4534  |  0.9302  |     1.1318      |    0.3713    |   0.5498   | 0.4433  |
[ 51 /300 ]    | -1.0925  | -0.4741  |  0.9314  |     1.1381      |    0.3749    |   0.5265   | 0.4380  |
[ 52 /300 ]    | -1.0901  | -0.5517  |  0.9334  |     1.1307      |    0.3589    |   0.5737   | 0.4416  |
[ 53 /300 ]    | -1.0944  | -0.6488  |  0.9329  |     1.1353      |    0.3709    |   0.5509   | 0.4433  |
[ 54 /300 ]    | -1.0797  | -0.7058  |  0.9335  |     1.1260      |    0.3783    |   0.5354   | 0.4434  |
[ 55 /300 ]    | -1.0746  | -0.5592  |  0.9350  |     1.1139      |    0.3797    |   0.5552   | 0.4510  |
[ 56 /300 ]    | -1.0600  | -0.7530  |  0.9388  |     1.1008      |    0.3649    |   0.5804   | 0.4481  |
[ 57 /300 ]    | -1.0790  | -0.7191  |  0.9363  |     1.1169      |    0.3747    |   0.5552   | 0.4474  |
[ 58 /300 ]    | -1.0720  | -0.7302  |  0.9397  |     1.1114      |    0.4018    |   0.5133   | 0.4508  |
[ 59 /300 ]    | -1.1137  | -0.8026  |  0.9407  |     1.1603      |    0.3805    |   0.5465   | 0.4486  |
[ 60 /300 ]    | -1.0583  | -0.7812  |  0.9391  |     1.0944      |    0.3881    |   0.5261   | 0.4467  |
[ 61 /300 ]    | -1.0653  | -0.8971  |  0.9404  |     1.1035      |    0.3876    |   0.5490   | 0.4544  |
[ 62 /300 ]    | -1.0832  | -0.7373  |  0.9436  |     1.1198      |    0.3943    |   0.5442   | 0.4573  |
[ 63 /300 ]    | -1.0538  | -0.8469  |  0.9418  |     1.0952      |    0.3861    |   0.5614   | 0.4575  |
[ 64 /300 ]    | -1.0656  | -0.9128  |  0.9436  |     1.1050      |    0.3889    |   0.5607   | 0.4592  |
[ 65 /300 ]    | -1.0483  | -0.7932  |  0.9425  |     1.0847      |    0.3831    |   0.5560   | 0.4536  |
[ 66 /300 ]    | -1.0472  | -0.9229  |  0.9440  |     1.0838      |    0.3985    |   0.5352   | 0.4568  |
[ 67 /300 ]    | -1.0581  | -0.9714  |  0.9459  |     1.0968      |    0.3918    |   0.5590   | 0.4607  |
[ 68 /300 ]    | -1.0309  | -0.9799  |  0.9460  |     1.0662      |    0.4189    |   0.5348   | 0.4698  |
[ 69 /300 ]    | -1.0688  | -1.1549  |  0.9474  |     1.1121      |    0.3859    |   0.5743   | 0.4617  |
[ 70 /300 ]    | -1.0337  | -1.0793  |  0.9477  |     1.0754      |    0.4014    |   0.5465   | 0.4628  |
[ 71 /300 ]    | -1.0237  | -1.0334  |  0.9464  |     1.0694      |    0.4043    |   0.5502   | 0.4661  |
[ 72 /300 ]    | -1.0478  | -1.0221  |  0.9465  |     1.0906      |    0.4110    |   0.5365   | 0.4654  |
[ 73 /300 ]    | -1.0349  | -1.1572  |  0.9464  |     1.0786      |    0.4054    |   0.5495   | 0.4666  |
[ 74 /300 ]    | -1.0333  | -1.2638  |  0.9504  |     1.0662      |    0.4118    |   0.5470   | 0.4699  |
[ 75 /300 ]    | -1.0405  | -1.2121  |  0.9498  |     1.0824      |    0.4037    |   0.5455   | 0.4640  |
[ 76 /300 ]    | -1.0430  | -1.3831  |  0.9512  |     1.0868      |    0.4103    |   0.5338   | 0.4640  |
[ 77 /300 ]    | -1.0352  | -1.2782  |  0.9522  |     1.0751      |    0.4186    |   0.5355   | 0.4699  |
[ 78 /300 ]    | -1.0125  | -1.2267  |  0.9517  |     1.0539      |    0.4140    |   0.5449   | 0.4705  |
[ 79 /300 ]    | -1.0224  | -1.3962  |  0.9534  |     1.0726      |    0.4046    |   0.5572   | 0.4688  |
[ 80 /300 ]    | -1.0292  | -1.4634  |  0.9524  |     1.0652      |    0.4176    |   0.5415   | 0.4716  |
[ 81 /300 ]    | -1.0218  | -1.5990  |  0.9536  |     1.0574      |    0.3942    |   0.5589   | 0.4623  |
[ 82 /300 ]    | -1.0147  | -1.4849  |  0.9525  |     1.0525      |    0.4107    |   0.5388   | 0.4661  |
[ 83 /300 ]    | -1.0183  | -1.5068  |  0.9548  |     1.0606      |    0.4206    |   0.5165   | 0.4636  |
[ 84 /300 ]    | -1.0052  | -1.5897  |  0.9544  |     1.0447      |    0.4246    |   0.5298   | 0.4714  |
[ 85 /300 ]    | -0.9835  | -1.5550  |  0.9547  |     1.0261      |    0.4200    |   0.5355   | 0.4708  |
[ 86 /300 ]    | -1.0243  | -1.7414  |  0.9550  |     1.0603      |    0.4011    |   0.5492   | 0.4636  |
[ 87 /300 ]    | -1.0028  | -1.5946  |  0.9565  |     1.0431      |    0.4079    |   0.5430   | 0.4658  |
[ 88 /300 ]    | -1.0129  | -1.6492  |  0.9558  |     1.0484      |    0.4319    |   0.5248   | 0.4738  |
[ 89 /300 ]    | -0.9899  | -1.7571  |  0.9564  |     1.0289      |    0.4078    |   0.5593   | 0.4716  |
[ 90 /300 ]    | -0.9934  | -1.5962  |  0.9568  |     1.0307      |    0.4274    |   0.5343   | 0.4749  |
[ 91 /300 ]    | -0.9865  | -1.6961  |  0.9570  |     1.0240      |    0.4287    |   0.5365   | 0.4766  |
[ 92 /300 ]    | -1.0089  | -1.7928  |  0.9576  |     1.0480      |    0.4367    |   0.5168   | 0.4734  |
[ 93 /300 ]    | -1.0152  | -1.7415  |  0.9591  |     1.0562      |    0.4087    |   0.5651   | 0.4743  |
[ 94 /300 ]    | -1.0341  | -1.9268  |  0.9588  |     1.0817      |    0.4147    |   0.5443   | 0.4708  |
[ 95 /300 ]    | -0.9610  | -1.7684  |  0.9579  |     1.0024      |    0.4219    |   0.5373   | 0.4727  |
[ 96 /300 ]    | -0.9921  | -1.9937  |  0.9581  |     1.0338      |    0.4069    |   0.5532   | 0.4689  |
[ 97 /300 ]    | -0.9920  | -1.7787  |  0.9609  |     1.0330      |    0.4199    |   0.5407   | 0.4727  |
[ 98 /300 ]    | -1.0064  | -1.9690  |  0.9596  |     1.0485      |    0.4163    |   0.5330   | 0.4675  |
[ 99 /300 ]    | -0.9816  | -1.9993  |  0.9612  |     1.0262      |    0.4218    |   0.5323   | 0.4707  |
[100 /300 ]    | -1.0000  | -1.9748  |  0.9609  |     1.0383      |    0.4411    |   0.5114   | 0.4736  |
[101 /300 ]    | -0.9756  | -2.0083  |  0.9625  |     1.0161      |    0.4324    |   0.5362   | 0.4787  |
[102 /300 ]    | -0.9662  | -2.1555  |  0.9617  |     1.0029      |    0.4279    |   0.5394   | 0.4772  |
[103 /300 ]    | -0.9739  | -2.0161  |  0.9622  |     1.0088      |    0.4123    |   0.5498   | 0.4712  |
[104 /300 ]    | -0.9834  | -2.0179  |  0.9629  |     1.0218      |    0.4301    |   0.5260   | 0.4733  |
[105 /300 ]    | -0.9813  | -2.1001  |  0.9629  |     1.0275      |    0.4140    |   0.5476   | 0.4715  |
[106 /300 ]    | -0.9912  | -2.1569  |  0.9631  |     1.0331      |    0.4157    |   0.5638   | 0.4785  |
[107 /300 ]    | -0.9896  | -2.2158  |  0.9639  |     1.0252      |    0.4290    |   0.5423   | 0.4790  |
[108 /300 ]    | -0.9724  | -2.0257  |  0.9640  |     1.0112      |    0.4274    |   0.5436   | 0.4785  |
[109 /300 ]    | -1.0018  | -2.0576  |  0.9642  |     1.0461      |    0.4208    |   0.5520   | 0.4776  |
[110 /300 ]    | -0.9959  | -2.3238  |  0.9647  |     1.0406      |    0.4212    |   0.5534   | 0.4783  |
[111 /300 ]    | -0.9945  | -2.3074  |  0.9639  |     1.0356      |    0.4130    |   0.5602   | 0.4755  |
[112 /300 ]    | -0.9863  | -2.3143  |  0.9654  |     1.0261      |    0.4119    |   0.5568   | 0.4736  |
[113 /300 ]    | -0.9702  | -2.1898  |  0.9654  |     1.0125      |    0.4165    |   0.5540   | 0.4755  |
[114 /300 ]    | -0.9859  | -2.3746  |  0.9653  |     1.0194      |    0.4244    |   0.5272   | 0.4702  |
[115 /300 ]    | -0.9853  | -2.2530  |  0.9671  |     1.0325      |    0.4116    |   0.5728   | 0.4790  |
[116 /300 ]    | -1.0076  | -2.4613  |  0.9666  |     1.0495      |    0.4176    |   0.5562   | 0.4770  |
[117 /300 ]    | -0.9567  | -2.4798  |  0.9669  |     0.9876      |    0.4338    |   0.5336   | 0.4785  |
[118 /300 ]    | -0.9710  | -2.3050  |  0.9661  |     1.0176      |    0.4365    |   0.5358   | 0.4811  |
[119 /300 ]    | -0.9769  | -2.4665  |  0.9660  |     1.0195      |    0.4292    |   0.5492   | 0.4819  |
[120 /300 ]    | -1.0239  | -2.5878  |  0.9666  |     1.0666      |    0.4072    |   0.5712   | 0.4755  |
[121 /300 ]    | -0.9721  | -2.3097  |  0.9681  |     1.0119      |    0.4201    |   0.5525   | 0.4773  |
[122 /300 ]    | -0.9869  | -2.4241  |  0.9676  |     1.0279      |    0.4344    |   0.5409   | 0.4819  |
[123 /300 ]    | -0.9728  | -2.6496  |  0.9677  |     1.0108      |    0.4569    |   0.5295   | 0.4905  |
[124 /300 ]    | -0.9323  | -2.4704  |  0.9678  |     0.9695      |    0.4286    |   0.5757   | 0.4913  |
