Namespace(att_size=85, batch_size=1024, bc=False, beta1=0.5, class_embedding='att', classifier_lr=0.001, cls_weight=0.01, consistency_weight=1, critic_iter=5, cuda=True, dataroot='/data0/docker/xingyun/mmcgan/data', dataset='AWA2', drop_rate=0.2, gzsl=True, image_embedding='res101', lambda1=10.0, lr=1e-05, manualSeed=9182, matdataset=True, nclass_all=50, dis_hu=4096, nepoch=300, netD='', netD_name='MLP_CRITIC', netG='', netG_name='MLP_G', gen_hu=4096, ngpu=1, njh=170, nrgh=4096, nrgh1=1024, nrgh2=512, nrgh3=256, nrgh4=128, nrh=4096, nrh1=1024, nrh2=512, nrh3=256, nrh4=128, nz=85, outf='./checkpoint/', outname='awa2', preprocessing=True, pretrain_classifier='', print_every=1, r_hl=4, r_iteration=3, r_nz=2048, r_path='/home/xingyun/docker/mmcgan/r_param', r_weight=1, res_size=2048, reverse_iter=5, rg_hl=1, save_every=100, standardization=False, start_epoch=0, syn_num=3000, val_every=1, validation=False, workers=2)
Random Seed:  9182
# of training samples:  23527
MLP_G(
  (fc1): Linear(in_features=170, out_features=4096)
  (fc2): Linear(in_features=4096, out_features=2048)
  (lrelu): LeakyReLU(0.2, inplace)
  (relu): ReLU(inplace)
)
MLP_CRITIC(
  (fc1): Linear(in_features=2133, out_features=4096)
  (fc2): Linear(in_features=4096, out_features=1)
  (lrelu): LeakyReLU(0.2, inplace)
)
MLP_4HL_Dropout_R(
  (fc1): Linear(in_features=2048, out_features=1024)
  (fc2): Linear(in_features=1024, out_features=512)
  (fc3): Linear(in_features=512, out_features=256)
  (fc4): Linear(in_features=256, out_features=128)
  (fc5): Linear(in_features=128, out_features=85)
  (relu): ReLU(inplace)
  (lrelu): LeakyReLU(0.2, inplace)
  (dropout): Dropout(p=0.2)
)
EPOCH          |  D_cost  |  G_cost  |  R_cost  |  Wasserstein_D  |  ACC_unseen  |  ACC_seen  |    H    |
[ 37 /300 ]    | -1.3361  | -0.2988  |  0.8448  |     1.3863      |    0.2455    |   0.5159   | 0.3327  |
[ 38 /300 ]    | -1.3134  | -0.3189  |  0.8533  |     1.3597      |    0.2265    |   0.5156   | 0.3148  |
[ 39 /300 ]    | -1.3143  | -0.3416  |  0.8550  |     1.3609      |    0.2364    |   0.6252   | 0.3431  |
[ 40 /300 ]    | -1.2838  | -0.3655  |  0.8575  |     1.3290      |    0.2076    |   0.4911   | 0.2918  |
[ 41 /300 ]    | -1.2736  | -0.3753  |  0.8609  |     1.3163      |    0.2735    |   0.4812   | 0.3488  |
[ 42 /300 ]    | -1.2535  | -0.3780  |  0.8642  |     1.2964      |    0.2634    |   0.6010   | 0.3663  |
[ 43 /300 ]    | -1.2378  | -0.3843  |  0.8663  |     1.2811      |    0.2367    |   0.5978   | 0.3391  |
[ 44 /300 ]    | -1.2041  | -0.4083  |  0.8688  |     1.2472      |    0.3645    |   0.4416   | 0.3993  |
[ 45 /300 ]    | -1.2142  | -0.4387  |  0.8736  |     1.2570      |    0.2856    |   0.5857   | 0.3839  |
[ 46 /300 ]    | -1.1728  | -0.4409  |  0.8744  |     1.2109      |    0.2873    |   0.4425   | 0.3484  |
[ 47 /300 ]    | -1.1749  | -0.4231  |  0.8764  |     1.2171      |    0.3155    |   0.5677   | 0.4056  |
[ 48 /300 ]    | -1.1660  | -0.4379  |  0.8759  |     1.2087      |    0.3246    |   0.5661   | 0.4126  |
[ 49 /300 ]    | -1.1195  | -0.4245  |  0.8811  |     1.1584      |    0.3498    |   0.5542   | 0.4289  |
[ 50 /300 ]    | -1.1205  | -0.4451  |  0.8860  |     1.1615      |    0.2649    |   0.6863   | 0.3822  |
[ 51 /300 ]    | -1.1334  | -0.4530  |  0.8887  |     1.1730      |    0.2763    |   0.7193   | 0.3992  |
[ 52 /300 ]    | -1.1284  | -0.4708  |  0.8918  |     1.1661      |    0.3281    |   0.5373   | 0.4074  |
[ 53 /300 ]    | -1.1150  | -0.4590  |  0.8893  |     1.1560      |    0.3065    |   0.6162   | 0.4094  |
[ 54 /300 ]    | -1.0933  | -0.4775  |  0.8931  |     1.1308      |    0.3636    |   0.5451   | 0.4362  |
[ 55 /300 ]    | -1.1123  | -0.4552  |  0.8934  |     1.1512      |    0.2682    |   0.7065   | 0.3888  |
[ 56 /300 ]    | -1.0812  | -0.4742  |  0.8979  |     1.1213      |    0.3385    |   0.6166   | 0.4370  |
[ 57 /300 ]    | -1.0648  | -0.4743  |  0.8996  |     1.1027      |    0.3262    |   0.6709   | 0.4390  |
[ 58 /300 ]    | -1.0694  | -0.4284  |  0.9005  |     1.1081      |    0.3678    |   0.5088   | 0.4270  |
[ 59 /300 ]    | -1.0797  | -0.4514  |  0.9023  |     1.1201      |    0.3375    |   0.6543   | 0.4453  |
[ 60 /300 ]    | -1.0723  | -0.4319  |  0.9032  |     1.1118      |    0.3423    |   0.6049   | 0.4372  |
[ 61 /300 ]    | -1.0628  | -0.4506  |  0.9045  |     1.1026      |    0.3254    |   0.6945   | 0.4432  |
[ 62 /300 ]    | -1.0584  | -0.4929  |  0.9065  |     1.0986      |    0.3858    |   0.5870   | 0.4656  |
[ 63 /300 ]    | -1.0636  | -0.4572  |  0.9080  |     1.1069      |    0.3904    |   0.5943   | 0.4712  |
[ 64 /300 ]    | -1.0627  | -0.4844  |  0.9101  |     1.1043      |    0.3524    |   0.5940   | 0.4424  |
[ 65 /300 ]    | -1.0519  | -0.5112  |  0.9106  |     1.0931      |    0.3893    |   0.5909   | 0.4693  |
[ 66 /300 ]    | -1.0599  | -0.4930  |  0.9130  |     1.1013      |    0.3524    |   0.6393   | 0.4544  |
[ 67 /300 ]    | -1.0388  | -0.5049  |  0.9134  |     1.0799      |    0.3573    |   0.6834   | 0.4692  |
[ 68 /300 ]    | -1.0650  | -0.5300  |  0.9188  |     1.1048      |    0.4140    |   0.5737   | 0.4809  |
[ 69 /300 ]    | -1.0592  | -0.5220  |  0.9188  |     1.1041      |    0.3702    |   0.6330   | 0.4672  |
[ 70 /300 ]    | -1.0528  | -0.5299  |  0.9207  |     1.0961      |    0.3957    |   0.6382   | 0.4885  |
[ 71 /300 ]    | -1.0498  | -0.5201  |  0.9217  |     1.0944      |    0.4124    |   0.5688   | 0.4782  |
[ 72 /300 ]    | -1.0404  | -0.5560  |  0.9221  |     1.0844      |    0.3767    |   0.7081   | 0.4918  |
[ 73 /300 ]    | -1.0216  | -0.5507  |  0.9242  |     1.0663      |    0.4204    |   0.6215   | 0.5015  |
