Namespace(adv_steps=5, attSize=102, batch_size=2048, beta1=0.5, class_embedding='att', classifier_lr=0.001, cls_weight=0.01, critic_iter=5, cuda=True, dataroot='/data0/docker/xingyun/mmcgan/data', dataset='SUN', drop_rate=0.2, epsilon=0.0625, fusion_iter=2, gzsl=True, hfSize=512, image_embedding='res101', lambda1=10.0, lr=0.0002, manualSeed=None, matdataset=True, nclass_all=717, ndh=4096, nepoch=300, netD='', netD_name='MLP_CRITIC', netG='', netG_name='MLP_G', ngh=4096, ngpu=1, nrh1=1024, nrh2=512, nrh3=256, nrh4=128, ntrain_class=645, nz=102, outf='./checkpoint/', outname='sun', preprocessing=True, pretrain_classifier='', print_every=1, r_hl=4, r_weight=1, resSize=2048, save_every=100, standardization=False, start_epoch=0, syn_num=600, triple_batch_size=128, val_every=1, validation=False, workers=2)
Random Seed:  3769
# of training samples:  10320
MLP_G(
  (fc1): Linear(in_features=204, out_features=4096)
  (fc2): Linear(in_features=4096, out_features=2048)
  (lrelu): LeakyReLU(0.2, inplace)
  (relu): ReLU(inplace)
)
robDis(
  (fc1): Linear(in_features=2150, out_features=4096)
  (bin): Linear(in_features=4096, out_features=1)
  (multi): Linear(in_features=4096, out_features=645)
  (relu): ReLU(inplace)
)
EPOCH          |  D_cost  |  G_cost  |  ACC_unseen  |  ACC_seen  |    H    |
[235 /300 ]    |  0.9105  |  0.5595  |    0.4396    |   0.3450   | 0.3866  |
[236 /300 ]    |  0.9017  |  0.5629  |    0.3986    |   0.3725   | 0.3851  |
[237 /300 ]    |  0.9010  |  0.5709  |    0.3972    |   0.3713   | 0.3838  |
[238 /300 ]    |  0.9085  |  0.5501  |    0.3722    |   0.3880   | 0.3799  |
[239 /300 ]    |  0.9028  |  0.5441  |    0.4063    |   0.3663   | 0.3852  |
[240 /300 ]    |  0.9042  |  0.6152  |    0.3847    |   0.3841   | 0.3844  |
[241 /300 ]    |  0.9047  |  0.6634  |    0.3917    |   0.3748   | 0.3831  |
[242 /300 ]    |  0.8987  |  0.5767  |    0.3882    |   0.3702   | 0.3790  |
[243 /300 ]    |  0.9000  |  0.5662  |    0.3854    |   0.3736   | 0.3794  |
[244 /300 ]    |  0.8990  |  0.6312  |    0.4250    |   0.3504   | 0.3841  |
[245 /300 ]    |  0.8959  |  0.5935  |    0.4014    |   0.3612   | 0.3803  |
[246 /300 ]    |  0.9078  |  0.6917  |    0.4000    |   0.3709   | 0.3849  |
[247 /300 ]    |  0.8918  |  0.6000  |    0.4181    |   0.3465   | 0.3789  |
[248 /300 ]    |  0.9063  |  0.6697  |    0.3875    |   0.3814   | 0.3844  |
[249 /300 ]    |  0.8976  |  0.6038  |    0.4083    |   0.3609   | 0.3831  |
[250 /300 ]    |  0.8950  |  0.6177  |    0.4264    |   0.3407   | 0.3788  |
[251 /300 ]    |  0.8915  |  0.6203  |    0.4236    |   0.3473   | 0.3817  |
[252 /300 ]    |  0.8937  |  0.6044  |    0.4264    |   0.3519   | 0.3856  |
[253 /300 ]    |  0.9729  |  0.8089  |    0.4000    |   0.3686   | 0.3837  |
[254 /300 ]    |  0.8896  |  0.6111  |    0.4208    |   0.3547   | 0.3849  |
[255 /300 ]    |  0.9391  |  0.7576  |    0.4299    |   0.3492   | 0.3854  |
[256 /300 ]    |  0.9355  |  0.7409  |    0.4396    |   0.3364   | 0.3812  |
[257 /300 ]    |  0.9007  |  0.5691  |    0.4153    |   0.3640   | 0.3879  |
[258 /300 ]    |  0.8990  |  0.5400  |    0.4257    |   0.3543   | 0.3867  |
[259 /300 ]    |  0.8941  |  0.5866  |    0.4187    |   0.3535   | 0.3834  |
[260 /300 ]    |  0.9377  |  0.7614  |    0.4111    |   0.3624   | 0.3852  |
[261 /300 ]    |  0.8924  |  0.6395  |    0.4083    |   0.3643   | 0.3851  |
[262 /300 ]    |  0.9024  |  0.6968  |    0.4097    |   0.3550   | 0.3804  |
[263 /300 ]    |  0.9396  |  0.7774  |    0.4146    |   0.3647   | 0.3881  |
[264 /300 ]    |  0.9241  |  0.7360  |    0.3889    |   0.3818   | 0.3853  |
[265 /300 ]    |  0.9086  |  0.7216  |    0.4201    |   0.3581   | 0.3867  |
[266 /300 ]    |  0.8917  |  0.6255  |    0.3840    |   0.3810   | 0.3825  |
[267 /300 ]    |  0.8883  |  0.6019  |    0.3875    |   0.3833   | 0.3854  |
[268 /300 ]    |  0.9003  |  0.7198  |    0.4208    |   0.3578   | 0.3867  |
[269 /300 ]    |  0.9055  |  0.6884  |    0.4118    |   0.3690   | 0.3892  |
[270 /300 ]    |  0.8859  |  0.6039  |    0.4181    |   0.3655   | 0.3900  |
[271 /300 ]    |  0.8934  |  0.5661  |    0.3924    |   0.3853   | 0.3888  |
[272 /300 ]    |  0.9029  |  0.6918  |    0.4063    |   0.3702   | 0.3874  |
[273 /300 ]    |  0.8895  |  0.6168  |    0.3903    |   0.3802   | 0.3852  |
[274 /300 ]    |  0.8921  |  0.6119  |    0.4104    |   0.3620   | 0.3847  |
[275 /300 ]    |  0.9549  |  0.8054  |    0.4271    |   0.3597   | 0.3905  |
[276 /300 ]    |  0.8854  |  0.6027  |    0.4069    |   0.3620   | 0.3832  |
[277 /300 ]    |  0.8853  |  0.6123  |    0.4056    |   0.3628   | 0.3830  |
[278 /300 ]    |  0.9211  |  0.7659  |    0.3931    |   0.3740   | 0.3833  |
[279 /300 ]    |  0.8903  |  0.5815  |    0.4056    |   0.3663   | 0.3849  |
[280 /300 ]    |  0.8860  |  0.5920  |    0.3958    |   0.3717   | 0.3834  |
[281 /300 ]    |  0.8925  |  0.5607  |    0.4097    |   0.3636   | 0.3853  |
[282 /300 ]    |  0.8947  |  0.5463  |    0.4146    |   0.3609   | 0.3859  |
[283 /300 ]    |  0.8830  |  0.5694  |    0.4014    |   0.3690   | 0.3845  |
[284 /300 ]    |  0.8777  |  0.5949  |    0.4208    |   0.3578   | 0.3867  |
[285 /300 ]    |  0.8822  |  0.6086  |    0.3910    |   0.3748   | 0.3827  |
[286 /300 ]    |  0.9114  |  0.5054  |    0.3875    |   0.3810   | 0.3842  |
[287 /300 ]    |  0.8888  |  0.5651  |    0.4278    |   0.3519   | 0.3862  |
[288 /300 ]    |  0.8849  |  0.6584  |    0.4313    |   0.3457   | 0.3838  |
[289 /300 ]    |  0.8796  |  0.5965  |    0.3889    |   0.3717   | 0.3801  |
[290 /300 ]    |  0.8870  |  0.5439  |    0.3979    |   0.3655   | 0.3810  |
[291 /300 ]    |  0.8862  |  0.5664  |    0.3965    |   0.3818   | 0.3890  |
[292 /300 ]    |  0.8934  |  0.5309  |    0.3972    |   0.3779   | 0.3873  |
[293 /300 ]    |  0.8872  |  0.5633  |    0.4042    |   0.3651   | 0.3837  |
[294 /300 ]    |  0.8827  |  0.5991  |    0.4056    |   0.3647   | 0.3841  |
[295 /300 ]    |  0.8814  |  0.6329  |    0.4062    |   0.3694   | 0.3869  |
[296 /300 ]    |  0.8796  |  0.6147  |    0.4278    |   0.3450   | 0.3819  |
[297 /300 ]    |  0.8878  |  0.6662  |    0.3972    |   0.3837   | 0.3904  |
[298 /300 ]    |  0.9659  |  0.8200  |    0.4306    |   0.3492   | 0.3856  |
[299 /300 ]    |  0.9153  |  0.7719  |    0.4201    |   0.3616   | 0.3887  |
[300 /300 ]    |  0.8942  |  0.5251  |    0.3993    |   0.3771   | 0.3879  |
max H: 0.390500 in epoch: 275
