Namespace(attSize=1024, batch_size=1024, bc=False, beta1=0.5, class_embedding='att', classifier_lr=0.001, cls_weight=0.1, consistency_weight=1, critic_iter=5, cuda=True, dataroot='/data0/docker/xingyun/mmcgan/data', dataset='FLO', drop_rate=0.2, gzsl=True, image_embedding='res101', lambda1=10.0, lr=0.0001, manualSeed=806, matdataset=True, nclass_all=102, ndh=4096, nepoch=300, netD='', netD_name='MLP_CRITIC', netG='', netG_name='MLP_G', ngh=4096, ngpu=1, nrh=4096, nrh1=1024, nrh2=512, nrh3=312, nrh4=156, nz=1024, outf='./checkpoint/', outname='flowers', preprocessing=True, pretrain_classifier='', print_every=1, r_hl=1, r_iteration=3, r_path='/home/xingyun/docker/mmcgan/r_param', r_weight=1, resSize=2048, reverse_iter=5, save_every=100, standardization=False, start_epoch=0, syn_num=800, val_every=1, validation=False, workers=2)
Random Seed:  806
# of training samples:  5631
MLP_G(
  (fc1): Linear(in_features=2048, out_features=4096)
  (fc2): Linear(in_features=4096, out_features=2048)
  (lrelu): LeakyReLU(0.2, inplace)
  (relu): ReLU(inplace)
)
MLP_CRITIC(
  (fc1): Linear(in_features=3072, out_features=4096)
  (fc2): Linear(in_features=4096, out_features=1)
  (lrelu): LeakyReLU(0.2, inplace)
)
MLP_1HL_Dropout_R(
  (fc1): Linear(in_features=2048, out_features=4096)
  (fc2): Linear(in_features=4096, out_features=1024)
  (lrelu): LeakyReLU(0.2, inplace)
  (relu): ReLU(inplace)
  (dropout): Dropout(p=0.2)
)
EPOCH          |  D_cost  |  G_cost  |  R_cost  |  Wasserstein_D  |  ACC_seen  |  ACC_unseen  |    H    |
[ 39 /300 ]    | -2.6478  | -0.8639  |  0.7334  |     2.7880      |   0.0969   |    0.5839    | 0.1663  |
[ 40 /300 ]    | -2.5988  | -0.9052  |  0.7314  |     2.6939      |   0.0970   |    0.5944    | 0.1667  |
[ 41 /300 ]    | -2.6132  | -0.8221  |  0.7355  |     2.8036      |   0.1257   |    0.3220    | 0.1808  |
[ 42 /300 ]    | -2.6239  | -0.7925  |  0.7346  |     2.8149      |   0.1155   |    0.3299    | 0.1711  |
[ 43 /300 ]    | -2.6502  | -0.7856  |  0.7348  |     2.8581      |   0.1167   |    0.4643    | 0.1866  |
[ 44 /300 ]    | -2.5857  | -0.8599  |  0.7358  |     2.7440      |   0.1368   |    0.4749    | 0.2124  |
[ 45 /300 ]    | -2.5910  | -0.7886  |  0.7369  |     2.7708      |   0.1299   |    0.4513    | 0.2017  |
[ 46 /300 ]    | -2.5750  | -0.8405  |  0.7390  |     2.7176      |   0.1642   |    0.2936    | 0.2106  |
[ 47 /300 ]    | -2.6005  | -0.8116  |  0.7377  |     2.7865      |   0.1672   |    0.2905    | 0.2122  |
[ 48 /300 ]    | -2.5653  | -0.8083  |  0.7389  |     2.7465      |   0.1647   |    0.5536    | 0.2539  |
[ 49 /300 ]    | -2.5436  | -0.8554  |  0.7429  |     2.6939      |   0.1712   |    0.4336    | 0.2455  |
[ 50 /300 ]    | -2.5815  | -0.8340  |  0.7419  |     2.7619      |   0.1676   |    0.5484    | 0.2568  |
[ 51 /300 ]    | -2.5582  | -0.8846  |  0.7403  |     2.6569      |   0.1905   |    0.4190    | 0.2620  |
[ 52 /300 ]    | -2.5244  | -0.8660  |  0.7434  |     2.6540      |   0.1739   |    0.4142    | 0.2449  |
[ 53 /300 ]    | -2.5222  | -0.8845  |  0.7432  |     2.6641      |   0.1999   |    0.3974    | 0.2660  |
[ 54 /300 ]    | -2.4974  | -0.9630  |  0.7440  |     2.5809      |   0.2150   |    0.3963    | 0.2788  |
[ 55 /300 ]    | -2.5225  | -0.8919  |  0.7440  |     2.6147      |   0.1732   |    0.5194    | 0.2597  |
[ 56 /300 ]    | -2.5038  | -0.8172  |  0.7441  |     2.6225      |   0.2234   |    0.3738    | 0.2797  |
[ 57 /300 ]    | -2.5087  | -0.8519  |  0.7436  |     2.6198      |   0.2042   |    0.4954    | 0.2892  |
[ 58 /300 ]    | -2.4706  | -0.7777  |  0.7455  |     2.6156      |   0.2073   |    0.4890    | 0.2911  |
[ 59 /300 ]    | -2.4533  | -0.8673  |  0.7451  |     2.5472      |   0.2578   |    0.3612    | 0.3009  |
[ 60 /300 ]    | -2.4714  | -0.7847  |  0.7481  |     2.6284      |   0.2028   |    0.5799    | 0.3005  |
[ 61 /300 ]    | -2.4308  | -0.8810  |  0.7469  |     2.5181      |   0.2214   |    0.5722    | 0.3193  |
[ 62 /300 ]    | -2.4488  | -0.7304  |  0.7474  |     2.5945      |   0.2260   |    0.4775    | 0.3068  |
[ 63 /300 ]    | -2.4366  | -0.7543  |  0.7482  |     2.5794      |   0.2155   |    0.4582    | 0.2931  |
[ 64 /300 ]    | -2.3956  | -0.6674  |  0.7492  |     2.5609      |   0.2198   |    0.5618    | 0.3160  |
[ 65 /300 ]    | -2.4115  | -0.7583  |  0.7489  |     2.5413      |   0.2529   |    0.4599    | 0.3263  |
[ 66 /300 ]    | -2.3909  | -0.7439  |  0.7497  |     2.5225      |   0.2337   |    0.6125    | 0.3383  |
[ 67 /300 ]    | -2.3825  | -0.6783  |  0.7504  |     2.5430      |   0.2596   |    0.4480    | 0.3287  |
[ 68 /300 ]    | -2.3616  | -0.7142  |  0.7518  |     2.4918      |   0.2904   |    0.4468    | 0.3520  |
[ 69 /300 ]    | -2.3498  | -0.6371  |  0.7509  |     2.5118      |   0.2600   |    0.5213    | 0.3469  |
[ 70 /300 ]    | -2.3325  | -0.7110  |  0.7515  |     2.4455      |   0.2333   |    0.6027    | 0.3364  |
[ 71 /300 ]    | -2.3504  | -0.6931  |  0.7513  |     2.4843      |   0.2568   |    0.6468    | 0.3677  |
[ 72 /300 ]    | -2.3447  | -0.6765  |  0.7510  |     2.4629      |   0.2664   |    0.5016    | 0.3480  |
[ 73 /300 ]    | -2.3079  | -0.6988  |  0.7535  |     2.4237      |   0.2713   |    0.5783    | 0.3693  |
[ 74 /300 ]    | -2.3363  | -0.5794  |  0.7515  |     2.4868      |   0.2646   |    0.5169    | 0.3500  |
[ 75 /300 ]    | -2.2893  | -0.5889  |  0.7535  |     2.4422      |   0.2702   |    0.6184    | 0.3761  |
[ 76 /300 ]    | -2.2969  | -0.5611  |  0.7537  |     2.4629      |   0.2682   |    0.6312    | 0.3764  |
[ 77 /300 ]    | -2.2709  | -0.5489  |  0.7551  |     2.4287      |   0.3133   |    0.5675    | 0.4037  |
[ 78 /300 ]    | -2.3026  | -0.6546  |  0.7552  |     2.4236      |   0.3015   |    0.5655    | 0.3933  |
[ 79 /300 ]    | -2.2958  | -0.6814  |  0.7545  |     2.4008      |   0.3156   |    0.4762    | 0.3796  |
[ 80 /300 ]    | -2.2480  | -0.5535  |  0.7540  |     2.4051      |   0.2883   |    0.6076    | 0.3910  |
[ 81 /300 ]    | -2.2278  | -0.6258  |  0.7556  |     2.3514      |   0.3001   |    0.5938    | 0.3987  |
[ 82 /300 ]    | -2.2503  | -0.5818  |  0.7539  |     2.3611      |   0.2867   |    0.6003    | 0.3880  |
[ 83 /300 ]    | -2.2185  | -0.4893  |  0.7566  |     2.3433      |   0.3123   |    0.6019    | 0.4112  |
[ 84 /300 ]    | -2.2183  | -0.5138  |  0.7572  |     2.3296      |   0.3043   |    0.5904    | 0.4016  |
[ 85 /300 ]    | -2.1990  | -0.4750  |  0.7559  |     2.3406      |   0.3027   |    0.6440    | 0.4118  |
[ 86 /300 ]    | -2.2034  | -0.4942  |  0.7583  |     2.3130      |   0.3058   |    0.6385    | 0.4135  |
[ 87 /300 ]    | -2.1964  | -0.4972  |  0.7567  |     2.3095      |   0.3186   |    0.5774    | 0.4106  |
[ 88 /300 ]    | -2.1938  | -0.4928  |  0.7582  |     2.3058      |   0.3128   |    0.6207    | 0.4159  |
[ 89 /300 ]    | -2.1780  | -0.4287  |  0.7564  |     2.3100      |   0.3528   |    0.5555    | 0.4315  |
[ 90 /300 ]    | -2.1579  | -0.4394  |  0.7604  |     2.2664      |   0.3421   |    0.6279    | 0.4429  |
[ 91 /300 ]    | -2.1489  | -0.5540  |  0.7584  |     2.2518      |   0.3340   |    0.5632    | 0.4193  |
[ 92 /300 ]    | -2.1402  | -0.4883  |  0.7600  |     2.2627      |   0.3535   |    0.6239    | 0.4513  |
[ 93 /300 ]    | -2.1401  | -0.5245  |  0.7605  |     2.2284      |   0.3515   |    0.5675    | 0.4341  |
[ 94 /300 ]    | -2.1399  | -0.3881  |  0.7612  |     2.2723      |   0.3512   |    0.6362    | 0.4526  |
[ 95 /300 ]    | -2.1201  | -0.4171  |  0.7608  |     2.2579      |   0.3321   |    0.6723    | 0.4446  |
[ 96 /300 ]    | -2.1078  | -0.4219  |  0.7613  |     2.2197      |   0.3559   |    0.6327    | 0.4555  |
[ 97 /300 ]    | -2.0759  | -0.3852  |  0.7620  |     2.1962      |   0.3426   |    0.6725    | 0.4539  |
[ 98 /300 ]    | -2.0818  | -0.4176  |  0.7618  |     2.1681      |   0.3408   |    0.6481    | 0.4467  |
[ 99 /300 ]    | -2.0779  | -0.4630  |  0.7605  |     2.1744      |   0.3651   |    0.6709    | 0.4729  |
