Namespace(adv_steps=5, att_size=102, batch_size=2048, beta1=0.5, class_embedding='att', classifier_lr=0.001, cls_weight=0.01, critic_iter=5, cuda=True, dataroot='/data0/docker/xingyun/mmcgan/data', dataset='SUN', drop_rate=0.2, epsilon=0.0625, fusion_iter=2, gzsl=True, hfSize=512, image_embedding='res101', lambda1=10.0, lr=0.0002, manualSeed=4115, matdataset=True, nclass_all=717, dis_hu=4096, nepoch=300, netD='', netD_name='MLP_CRITIC', netG='', netG_name='MLP_G', gen_hu=4096, ngpu=1, nrh1=1024, nrh2=512, nrh3=256, nrh4=128, ntrain_class=645, nz=102, outf='./checkpoint/', outname='sun', preprocessing=True, pretrain_classifier='', print_every=1, r_hl=4, r_weight=1, res_size=2048, save_every=100, standardization=False, start_epoch=0, syn_num=600, triple_batch_size=128, val_every=1, validation=False, workers=2)
Random Seed:  4115
# of training samples:  10320
MLP_G(
  (fc1): Linear(in_features=204, out_features=4096)
  (fc2): Linear(in_features=4096, out_features=2048)
  (lrelu): LeakyReLU(0.2, inplace)
  (relu): ReLU(inplace)
)
robDis(
  (fc1): Linear(in_features=2150, out_features=4096)
  (bin): Linear(in_features=4096, out_features=1)
  (multi): Linear(in_features=4096, out_features=645)
  (relu): ReLU(inplace)
)
MLP_4HL_Dropout_R(
  (fc1): Linear(in_features=2048, out_features=1024)
  (fc2): Linear(in_features=1024, out_features=512)
  (fc3): Linear(in_features=512, out_features=256)
  (fc4): Linear(in_features=256, out_features=128)
  (fc5): Linear(in_features=128, out_features=102)
  (relu): ReLU(inplace)
  (lrelu): LeakyReLU(0.2, inplace)
  (dropout): Dropout(p=0.2)
)
EPOCH          |  D_cost  |  G_cost  |  R_cost  |  ACC_unseen  |  ACC_seen  |    H    |
[186 /300 ]    |  0.8782  |  0.6585  |  0.9627  |    0.4056    |   0.3469   | 0.3739  |
[187 /300 ]    |  0.8772  |  0.6196  |  0.9611  |    0.3979    |   0.3519   | 0.3735  |
[188 /300 ]    |  0.9187  |  0.8025  |  0.9640  |    0.3979    |   0.3612   | 0.3787  |
[189 /300 ]    |  0.8794  |  0.7078  |  0.9640  |    0.4076    |   0.3547   | 0.3793  |
[190 /300 ]    |  0.9151  |  0.8038  |  0.9628  |    0.4132    |   0.3465   | 0.3769  |
[191 /300 ]    |  0.9455  |  0.8751  |  0.9631  |    0.3924    |   0.3574   | 0.3740  |
[192 /300 ]    |  0.8792  |  0.7112  |  0.9632  |    0.3889    |   0.3643   | 0.3762  |
[193 /300 ]    |  0.8696  |  0.6854  |  0.9634  |    0.3771    |   0.3748   | 0.3759  |
[194 /300 ]    |  0.8672  |  0.6174  |  0.9639  |    0.3889    |   0.3640   | 0.3760  |
[195 /300 ]    |  0.8719  |  0.6222  |  0.9633  |    0.3785    |   0.3802   | 0.3794  |
[196 /300 ]    |  0.8782  |  0.5714  |  0.9636  |    0.3847    |   0.3616   | 0.3728  |
[197 /300 ]    |  0.8697  |  0.6703  |  0.9641  |    0.3903    |   0.3651   | 0.3773  |
[198 /300 ]    |  0.8767  |  0.7248  |  0.9633  |    0.4083    |   0.3500   | 0.3769  |
[199 /300 ]    |  0.8698  |  0.6244  |  0.9639  |    0.3944    |   0.3612   | 0.3771  |
[200 /300 ]    |  0.9313  |  0.9062  |  0.9645  |    0.4174    |   0.3310   | 0.3692  |
[201 /300 ]    |  0.8655  |  0.6424  |  0.9630  |    0.3757    |   0.3756   | 0.3756  |
[202 /300 ]    |  0.8640  |  0.6486  |  0.9575  |    0.4076    |   0.3516   | 0.3775  |
[203 /300 ]    |  0.8634  |  0.6026  |  0.9643  |    0.3875    |   0.3647   | 0.3758  |
[204 /300 ]    |  0.8673  |  0.7210  |  0.9650  |    0.4056    |   0.3585   | 0.3806  |
[205 /300 ]    |  0.8609  |  0.6355  |  0.9638  |    0.4090    |   0.3516   | 0.3781  |
[206 /300 ]    |  0.8784  |  0.6312  |  0.9629  |    0.4097    |   0.3512   | 0.3782  |
[207 /300 ]    |  0.8619  |  0.6746  |  0.9644  |    0.3722    |   0.3829   | 0.3775  |
[208 /300 ]    |  0.8824  |  0.5353  |  0.9650  |    0.3792    |   0.3705   | 0.3748  |
[209 /300 ]    |  0.8625  |  0.7005  |  0.9638  |    0.3951    |   0.3702   | 0.3822  |
[210 /300 ]    |  0.8671  |  0.7034  |  0.9651  |    0.3840    |   0.3818   | 0.3829  |
[211 /300 ]    |  0.8628  |  0.6715  |  0.9641  |    0.3986    |   0.3632   | 0.3801  |
[212 /300 ]    |  0.8717  |  0.7363  |  0.9643  |    0.3743    |   0.3748   | 0.3746  |
[213 /300 ]    |  0.8573  |  0.5908  |  0.9640  |    0.3882    |   0.3671   | 0.3773  |
[214 /300 ]    |  0.8713  |  0.7373  |  0.9651  |    0.3910    |   0.3581   | 0.3738  |
[215 /300 ]    |  0.8541  |  0.6345  |  0.9637  |    0.4000    |   0.3527   | 0.3749  |
[216 /300 ]    |  0.8566  |  0.6352  |  0.9618  |    0.4139    |   0.3415   | 0.3742  |
[217 /300 ]    |  0.8547  |  0.6179  |  0.9648  |    0.3965    |   0.3516   | 0.3727  |
[218 /300 ]    |  0.8557  |  0.6475  |  0.9631  |    0.3764    |   0.3845   | 0.3804  |
[219 /300 ]    |  0.8682  |  0.6602  |  0.9644  |    0.4042    |   0.3632   | 0.3826  |
[220 /300 ]    |  0.9215  |  0.8786  |  0.9663  |    0.4125    |   0.3442   | 0.3753  |
[221 /300 ]    |  0.8589  |  0.6041  |  0.9653  |    0.3840    |   0.3725   | 0.3782  |
[222 /300 ]    |  0.8540  |  0.5822  |  0.9654  |    0.3910    |   0.3659   | 0.3780  |
[223 /300 ]    |  0.8611  |  0.7242  |  0.9652  |    0.3965    |   0.3616   | 0.3783  |
[224 /300 ]    |  0.8574  |  0.7206  |  0.9641  |    0.4285    |   0.3438   | 0.3815  |
[225 /300 ]    |  0.8614  |  0.7551  |  0.9637  |    0.4014    |   0.3570   | 0.3779  |
[226 /300 ]    |  0.8506  |  0.6421  |  0.9638  |    0.4028    |   0.3550   | 0.3774  |
[227 /300 ]    |  0.7500  |  1.1983  |  0.9447  |    0.3569    |   0.3562   | 0.3566  |
[228 /300 ]    |  0.8155  |  0.8607  |  0.7414  |    0.3438    |   0.3217   | 0.3324  |
[229 /300 ]    |  0.8064  |  0.7316  |  0.8750  |    0.3507    |   0.3128   | 0.3307  |
[230 /300 ]    |  0.7496  |  0.7536  |  0.9402  |    0.3292    |   0.3461   | 0.3374  |
[231 /300 ]    |  0.7573  |  0.7089  |  0.9498  |    0.3576    |   0.3550   | 0.3563  |
[232 /300 ]    |  0.8012  |  0.6382  |  0.9558  |    0.3931    |   0.3233   | 0.3548  |
[233 /300 ]    |  0.8013  |  0.6771  |  0.9569  |    0.4208    |   0.3190   | 0.3629  |
[234 /300 ]    |  0.8036  |  0.6659  |  0.9595  |    0.4187    |   0.3391   | 0.3748  |
[235 /300 ]    |  0.8441  |  0.6404  |  0.9603  |    0.3785    |   0.3744   | 0.3764  |
[236 /300 ]    |  0.8339  |  0.6359  |  0.9617  |    0.3799    |   0.3659   | 0.3727  |
[237 /300 ]    |  0.8452  |  0.7194  |  0.9618  |    0.3785    |   0.3663   | 0.3723  |
[238 /300 ]    |  0.8526  |  0.6813  |  0.9630  |    0.4125    |   0.3581   | 0.3834  |
[239 /300 ]    |  0.8694  |  0.6932  |  0.9623  |    0.3743    |   0.3709   | 0.3726  |
[240 /300 ]    |  0.8619  |  0.6021  |  0.9638  |    0.3833    |   0.3678   | 0.3754  |
[241 /300 ]    |  0.8699  |  0.5865  |  0.9641  |    0.3951    |   0.3585   | 0.3759  |
[242 /300 ]    |  0.8881  |  0.7697  |  0.9639  |    0.4208    |   0.3492   | 0.3817  |
[243 /300 ]    |  0.8591  |  0.6340  |  0.9637  |    0.4069    |   0.3605   | 0.3823  |
[244 /300 ]    |  0.8640  |  0.6758  |  0.9647  |    0.4014    |   0.3581   | 0.3785  |
[245 /300 ]    |  0.8532  |  0.6720  |  0.9644  |    0.4201    |   0.3481   | 0.3807  |
[246 /300 ]    |  0.8719  |  0.7319  |  0.9652  |    0.3889    |   0.3690   | 0.3787  |
[247 /300 ]    |  0.8711  |  0.7135  |  0.9655  |    0.4139    |   0.3605   | 0.3853  |
[248 /300 ]    |  0.9170  |  0.8276  |  0.9653  |    0.3917    |   0.3756   | 0.3835  |
[249 /300 ]    |  0.8610  |  0.5823  |  0.9660  |    0.4208    |   0.3473   | 0.3805  |
[250 /300 ]    |  0.8606  |  0.6325  |  0.9657  |    0.4292    |   0.3574   | 0.3900  |
[251 /300 ]    |  0.8755  |  0.5507  |  0.9651  |    0.3826    |   0.3771   | 0.3799  |
[252 /300 ]    |  0.8836  |  0.7667  |  0.9658  |    0.3875    |   0.3744   | 0.3808  |
[253 /300 ]    |  0.8668  |  0.6909  |  0.9661  |    0.3826    |   0.3748   | 0.3787  |
[254 /300 ]    |  0.8881  |  0.7851  |  0.9659  |    0.4194    |   0.3496   | 0.3814  |
[255 /300 ]    |  0.9001  |  0.7939  |  0.9661  |    0.4181    |   0.3465   | 0.3789  |
[256 /300 ]    |  0.8946  |  0.7948  |  0.9663  |    0.4118    |   0.3612   | 0.3849  |
[257 /300 ]    |  0.8656  |  0.5565  |  0.9654  |    0.3792    |   0.3806   | 0.3799  |
[258 /300 ]    |  0.8708  |  0.7522  |  0.9657  |    0.4097    |   0.3636   | 0.3853  |
[259 /300 ]    |  0.8846  |  0.7759  |  0.9664  |    0.4021    |   0.3640   | 0.3821  |
[260 /300 ]    |  0.8554  |  0.5659  |  0.9661  |    0.3903    |   0.3775   | 0.3838  |
[261 /300 ]    |  0.8627  |  0.7243  |  0.9668  |    0.4097    |   0.3609   | 0.3837  |
[262 /300 ]    |  0.8919  |  0.8121  |  0.9658  |    0.3972    |   0.3717   | 0.3840  |
[263 /300 ]    |  0.8803  |  0.7712  |  0.9660  |    0.4111    |   0.3570   | 0.3821  |
[264 /300 ]    |  0.8600  |  0.6650  |  0.9661  |    0.4007    |   0.3616   | 0.3802  |
[265 /300 ]    |  0.8583  |  0.6338  |  0.9661  |    0.4306    |   0.3516   | 0.3871  |
[266 /300 ]    |  0.8603  |  0.6620  |  0.9669  |    0.3903    |   0.3764   | 0.3832  |
[267 /300 ]    |  0.8594  |  0.6147  |  0.9671  |    0.3924    |   0.3717   | 0.3818  |
[268 /300 ]    |  0.8644  |  0.5599  |  0.9666  |    0.3910    |   0.3802   | 0.3855  |
[269 /300 ]    |  0.8687  |  0.5883  |  0.9664  |    0.4104    |   0.3574   | 0.3821  |
[270 /300 ]    |  0.8537  |  0.6672  |  0.9667  |    0.4007    |   0.3655   | 0.3823  |
[271 /300 ]    |  0.9124  |  0.8489  |  0.9666  |    0.4069    |   0.3628   | 0.3836  |
[272 /300 ]    |  0.8811  |  0.7860  |  0.9666  |    0.4257    |   0.3450   | 0.3811  |
[273 /300 ]    |  0.8587  |  0.6111  |  0.9669  |    0.4236    |   0.3632   | 0.3911  |
[274 /300 ]    |  0.8936  |  0.7774  |  0.9672  |    0.4319    |   0.3484   | 0.3857  |
[275 /300 ]    |  0.8508  |  0.6225  |  0.9677  |    0.4312    |   0.3461   | 0.3840  |
[276 /300 ]    |  0.8603  |  0.6991  |  0.9660  |    0.4236    |   0.3473   | 0.3817  |
[277 /300 ]    |  0.8653  |  0.5444  |  0.9669  |    0.4139    |   0.3581   | 0.3840  |
[278 /300 ]    |  0.8691  |  0.5779  |  0.9669  |    0.4083    |   0.3663   | 0.3862  |
[279 /300 ]    |  0.8481  |  0.6691  |  0.9668  |    0.4153    |   0.3632   | 0.3875  |
[280 /300 ]    |  0.8610  |  0.7071  |  0.9667  |    0.4340    |   0.3407   | 0.3817  |
[281 /300 ]    |  0.8506  |  0.6189  |  0.9673  |    0.4368    |   0.3469   | 0.3867  |
[282 /300 ]    |  0.8629  |  0.6369  |  0.9672  |    0.4035    |   0.3721   | 0.3871  |
[283 /300 ]    |  0.9049  |  0.8440  |  0.9672  |    0.4222    |   0.3597   | 0.3885  |
[284 /300 ]    |  0.8771  |  0.5610  |  0.9676  |    0.4021    |   0.3709   | 0.3859  |
[285 /300 ]    |  0.8536  |  0.6471  |  0.9667  |    0.4014    |   0.3659   | 0.3828  |
[286 /300 ]    |  0.8597  |  0.5777  |  0.9675  |    0.4271    |   0.3419   | 0.3797  |
[287 /300 ]    |  0.8516  |  0.6173  |  0.9673  |    0.4347    |   0.3438   | 0.3840  |
[288 /300 ]    |  0.8522  |  0.6789  |  0.9674  |    0.3799    |   0.3795   | 0.3797  |
[289 /300 ]    |  0.8542  |  0.6334  |  0.9674  |    0.4458    |   0.3415   | 0.3867  |
[290 /300 ]    |  0.8704  |  0.5393  |  0.9671  |    0.3861    |   0.3783   | 0.3822  |
[291 /300 ]    |  0.8514  |  0.5786  |  0.9670  |    0.4118    |   0.3605   | 0.3844  |
[292 /300 ]    |  0.8658  |  0.5712  |  0.9672  |    0.4153    |   0.3589   | 0.3850  |
[293 /300 ]    |  0.8604  |  0.5435  |  0.9676  |    0.4181    |   0.3612   | 0.3876  |
[294 /300 ]    |  0.8680  |  0.5434  |  0.9678  |    0.4375    |   0.3461   | 0.3865  |
[295 /300 ]    |  0.8749  |  0.5319  |  0.9677  |    0.4035    |   0.3651   | 0.3833  |
[296 /300 ]    |  0.9028  |  0.8176  |  0.9680  |    0.4340    |   0.3446   | 0.3842  |
[297 /300 ]    |  0.9026  |  0.8388  |  0.9673  |    0.4188    |   0.3605   | 0.3874  |
[298 /300 ]    |  0.9075  |  0.8533  |  0.9674  |    0.4167    |   0.3550   | 0.3834  |
[299 /300 ]    |  0.8682  |  0.5484  |  0.9673  |    0.4035    |   0.3624   | 0.3818  |
[300 /300 ]    |  0.8542  |  0.6038  |  0.9674  |    0.3868    |   0.3736   | 0.3801  |
max H: 0.391074 in epoch: 273
