Namespace(adv_steps=5, att_size=1024, batch_size=512, beta1=0.5, class_embedding='att', classifier_lr=0.001, cls_weight=0.1, critic_iter=5, cuda=True, dataroot='/data0/docker/xingyun/mmcgan/data', dataset='FLO', drop_rate=0.2, epsilon=0.0625, fusion_iter=2, gzsl=True, hfSize=512, image_embedding='res101', lambda1=10.0, lr=0.0001, manualSeed=None, matdataset=True, nclass_all=102, dis_hu=4096, nepoch=300, netD='', netD_name='MLP_CRITIC', netG='', netG_name='MLP_G', gen_hu=4096, ngpu=1, nrh1=1024, nrh2=512, nrh3=256, nrh4=128, ntrain_class=82, nz=1024, outf='./checkpoint/', outname='flowers', preprocessing=True, pretrain_classifier='', print_every=1, r_hl=4, r_weight=1, res_size=2048, save_every=100, standardization=False, start_epoch=0, syn_num=800, triple_batch_size=128, val_every=1, validation=False, workers=2)
Random Seed:  1490
# of training samples:  5631
MLP_G(
  (fc1): Linear(in_features=2048, out_features=4096)
  (fc2): Linear(in_features=4096, out_features=2048)
  (lrelu): LeakyReLU(0.2, inplace)
  (relu): ReLU(inplace)
)
robDis(
  (fc1): Linear(in_features=3072, out_features=4096)
  (bin): Linear(in_features=4096, out_features=1)
  (multi): Linear(in_features=4096, out_features=82)
  (relu): ReLU(inplace)
)
EPOCH          |  D_cost  |  G_cost  |  ACC_unseen  |  ACC_seen  |    H    |
[217 /300 ]    |  0.8514  |  0.5389  |    0.5730    |   0.7511   | 0.6500  |
[218 /300 ]    |  0.8375  |  0.6082  |    0.5646    |   0.7344   | 0.6384  |
[219 /300 ]    |  0.8110  |  0.6247  |    0.5385    |   0.7672   | 0.6328  |
[220 /300 ]    |  0.8160  |  0.6502  |    0.5693    |   0.7680   | 0.6539  |
[221 /300 ]    |  0.8133  |  0.6760  |    0.5569    |   0.7643   | 0.6443  |
[222 /300 ]    |  0.8687  |  0.8590  |    0.5614    |   0.7794   | 0.6527  |
[223 /300 ]    |  0.8593  |  0.8083  |    0.5612    |   0.7727   | 0.6502  |
[224 /300 ]    |  0.8387  |  0.6014  |    0.5668    |   0.7475   | 0.6448  |
[225 /300 ]    |  0.8342  |  0.5499  |    0.5472    |   0.7966   | 0.6488  |
[226 /300 ]    |  0.8052  |  0.6745  |    0.5598    |   0.7493   | 0.6408  |
[227 /300 ]    |  0.8091  |  0.7072  |    0.5516    |   0.7799   | 0.6462  |
[228 /300 ]    |  0.8204  |  0.5297  |    0.5307    |   0.8223   | 0.6451  |
[229 /300 ]    |  0.7929  |  0.6460  |    0.5549    |   0.7887   | 0.6515  |
[230 /300 ]    |  0.8257  |  0.5897  |    0.5536    |   0.7706   | 0.6443  |
[231 /300 ]    |  0.8097  |  0.5914  |    0.5583    |   0.7875   | 0.6534  |
[232 /300 ]    |  0.8022  |  0.6521  |    0.5713    |   0.7752   | 0.6578  |
[233 /300 ]    |  0.7995  |  0.6643  |    0.5650    |   0.7862   | 0.6575  |
[234 /300 ]    |  0.7790  |  0.7023  |    0.5534    |   0.7943   | 0.6523  |
[235 /300 ]    |  0.8314  |  0.5280  |    0.5568    |   0.8054   | 0.6584  |
[236 /300 ]    |  0.8043  |  0.6318  |    0.5594    |   0.8019   | 0.6590  |
[237 /300 ]    |  0.8162  |  0.6144  |    0.5679    |   0.7718   | 0.6543  |
[238 /300 ]    |  0.8629  |  0.8549  |    0.5679    |   0.7738   | 0.6551  |
[239 /300 ]    |  0.8026  |  0.7136  |    0.5552    |   0.7966   | 0.6544  |
[240 /300 ]    |  0.8086  |  0.5974  |    0.5703    |   0.7967   | 0.6647  |
[241 /300 ]    |  0.8055  |  0.5899  |    0.5523    |   0.7850   | 0.6484  |
[242 /300 ]    |  0.7917  |  0.6809  |    0.5596    |   0.7901   | 0.6552  |
[243 /300 ]    |  0.7912  |  0.6976  |    0.5544    |   0.7707   | 0.6449  |
[244 /300 ]    |  0.8187  |  0.6393  |    0.5589    |   0.7867   | 0.6535  |
[245 /300 ]    |  0.8004  |  0.6177  |    0.5647    |   0.7635   | 0.6492  |
[246 /300 ]    |  0.7976  |  0.5591  |    0.5753    |   0.7550   | 0.6530  |
[247 /300 ]    |  0.7972  |  0.6530  |    0.5754    |   0.7712   | 0.6590  |
[248 /300 ]    |  0.7944  |  0.7096  |    0.5445    |   0.8177   | 0.6537  |
[249 /300 ]    |  0.7962  |  0.6214  |    0.5603    |   0.8077   | 0.6616  |
[250 /300 ]    |  0.8358  |  0.8617  |    0.5652    |   0.7872   | 0.6580  |
[251 /300 ]    |  0.7978  |  0.6659  |    0.5429    |   0.8116   | 0.6506  |
[252 /300 ]    |  0.7976  |  0.6840  |    0.5868    |   0.7746   | 0.6678  |
[253 /300 ]    |  0.7894  |  0.7763  |    0.5608    |   0.7851   | 0.6542  |
[254 /300 ]    |  0.7799  |  0.7056  |    0.5791    |   0.7815   | 0.6652  |
[255 /300 ]    |  0.8097  |  0.8252  |    0.5737    |   0.7880   | 0.6640  |
[256 /300 ]    |  0.7924  |  0.7290  |    0.5622    |   0.8005   | 0.6605  |
[257 /300 ]    |  0.7906  |  0.5753  |    0.5837    |   0.7829   | 0.6688  |
[258 /300 ]    |  0.7757  |  0.6368  |    0.5647    |   0.7911   | 0.6590  |
[259 /300 ]    |  0.8197  |  0.8118  |    0.5714    |   0.7917   | 0.6638  |
[260 /300 ]    |  0.7649  |  0.6613  |    0.5631    |   0.8061   | 0.6630  |
[261 /300 ]    |  0.7861  |  0.6924  |    0.5721    |   0.7929   | 0.6647  |
[262 /300 ]    |  0.7867  |  0.6562  |    0.5682    |   0.7890   | 0.6606  |
[263 /300 ]    |  0.7972  |  0.6042  |    0.5694    |   0.7770   | 0.6572  |
[264 /300 ]    |  0.8677  |  0.4982  |    0.5537    |   0.8036   | 0.6556  |
[265 /300 ]    |  0.7915  |  0.6775  |    0.5763    |   0.7718   | 0.6599  |
[266 /300 ]    |  0.7649  |  0.6054  |    0.5752    |   0.7701   | 0.6585  |
[267 /300 ]    |  0.7822  |  0.6358  |    0.5706    |   0.7745   | 0.6571  |
[268 /300 ]    |  0.7816  |  0.7387  |    0.5512    |   0.8017   | 0.6533  |
[269 /300 ]    |  0.7798  |  0.7413  |    0.5635    |   0.7933   | 0.6589  |
[270 /300 ]    |  0.7879  |  0.6416  |    0.5563    |   0.8120   | 0.6603  |
[271 /300 ]    |  0.7765  |  0.6192  |    0.5711    |   0.7496   | 0.6483  |
[272 /300 ]    |  0.8127  |  0.5469  |    0.5600    |   0.7963   | 0.6576  |
[273 /300 ]    |  0.7846  |  0.6392  |    0.5801    |   0.7505   | 0.6544  |
[274 /300 ]    |  0.7763  |  0.5993  |    0.5676    |   0.8041   | 0.6655  |
[275 /300 ]    |  0.7628  |  0.6478  |    0.5564    |   0.8104   | 0.6598  |
[276 /300 ]    |  0.8137  |  0.8658  |    0.5574    |   0.7828   | 0.6511  |
[277 /300 ]    |  0.7573  |  0.7217  |    0.5792    |   0.7601   | 0.6574  |
[278 /300 ]    |  0.7953  |  0.7484  |    0.5578    |   0.8219   | 0.6645  |
[279 /300 ]    |  0.7889  |  0.7958  |    0.5668    |   0.7661   | 0.6515  |
[280 /300 ]    |  0.7621  |  0.7619  |    0.5833    |   0.7648   | 0.6618  |
[281 /300 ]    |  0.7912  |  0.7947  |    0.5653    |   0.8035   | 0.6637  |
[282 /300 ]    |  0.7917  |  0.5960  |    0.5641    |   0.7818   | 0.6554  |
[283 /300 ]    |  0.7535  |  0.7430  |    0.5683    |   0.8092   | 0.6677  |
[284 /300 ]    |  0.7699  |  0.5995  |    0.5763    |   0.7939   | 0.6678  |
[285 /300 ]    |  0.7701  |  0.8083  |    0.5675    |   0.8033   | 0.6651  |
[286 /300 ]    |  0.7618  |  0.7471  |    0.5750    |   0.7985   | 0.6686  |
[287 /300 ]    |  0.7362  |  0.6785  |    0.5570    |   0.8130   | 0.6610  |
[288 /300 ]    |  0.7613  |  0.7633  |    0.5562    |   0.7920   | 0.6535  |
[289 /300 ]    |  0.7647  |  0.6114  |    0.5912    |   0.7689   | 0.6685  |
[290 /300 ]    |  0.7530  |  0.7170  |    0.5705    |   0.7865   | 0.6613  |
[291 /300 ]    |  0.7482  |  0.7175  |    0.5732    |   0.7981   | 0.6672  |
[292 /300 ]    |  0.8018  |  0.5279  |    0.5753    |   0.7943   | 0.6673  |
[293 /300 ]    |  0.7631  |  0.6308  |    0.5660    |   0.8105   | 0.6665  |
[294 /300 ]    |  0.7608  |  0.6918  |    0.5589    |   0.8111   | 0.6618  |
[295 /300 ]    |  0.7466  |  0.7133  |    0.5774    |   0.7728   | 0.6609  |
[296 /300 ]    |  0.7971  |  0.8521  |    0.5767    |   0.7662   | 0.6581  |
[297 /300 ]    |  0.7788  |  0.7689  |    0.5655    |   0.7964   | 0.6614  |
[298 /300 ]    |  0.7608  |  0.6723  |    0.5547    |   0.8055   | 0.6570  |
[299 /300 ]    |  0.7784  |  0.6346  |    0.5800    |   0.7763   | 0.6639  |
[300 /300 ]    |  0.7430  |  0.7689  |    0.5421    |   0.8069   | 0.6485  |
max H: 0.668784 in epoch: 257
