Namespace(adv_steps=5, att_size=1024, batch_size=512, beta1=0.5, class_embedding='att', classifier_lr=0.001, cls_weight=0.1, critic_iter=5, cuda=True, dataroot='/data0/docker/xingyun/mmcgan/data', dataset='FLO', drop_rate=0.2, epsilon=0.0625, fusion_iter=2, gzsl=True, hfSize=512, image_embedding='res101', lambda1=10.0, lr=0.0001, manualSeed=None, matdataset=True, nclass_all=102, dis_hu=4096, nepoch=300, netD='', netD_name='MLP_CRITIC', netG='', netG_name='MLP_G', gen_hu=4096, ngpu=1, nrh1=1024, nrh2=512, nrh3=256, nrh4=128, ntrain_class=82, nz=1024, outf='./checkpoint/', outname='flowers', preprocessing=True, pretrain_classifier='', print_every=1, r_hl=4, r_weight=1, res_size=2048, save_every=100, standardization=False, start_epoch=0, syn_num=800, triple_batch_size=128, val_every=1, validation=False, workers=2)
Random Seed:  1490
# of training samples:  5631
MLP_G(
  (fc1): Linear(in_features=2048, out_features=4096)
  (fc2): Linear(in_features=4096, out_features=2048)
  (lrelu): LeakyReLU(0.2, inplace)
  (relu): ReLU(inplace)
)
robDis(
  (fc1): Linear(in_features=3072, out_features=4096)
  (bin): Linear(in_features=4096, out_features=1)
  (multi): Linear(in_features=4096, out_features=82)
  (relu): ReLU(inplace)
)
EPOCH          |  D_cost  |  G_cost  |  ACC_unseen  |  ACC_seen  |    H    |
[ 53 /300 ]    |  0.4583  |  0.9578  |    0.4253    |   0.7230   | 0.5355  |
[ 54 /300 ]    |  0.4484  |  1.1043  |    0.4035    |   0.7659   | 0.5285  |
[ 55 /300 ]    |  0.4469  |  0.9395  |    0.4194    |   0.7551   | 0.5393  |
[ 56 /300 ]    |  0.4501  |  0.9765  |    0.4076    |   0.7563   | 0.5297  |
[ 57 /300 ]    |  0.4639  |  1.0571  |    0.4344    |   0.7456   | 0.5490  |
[ 58 /300 ]    |  0.4991  |  0.8860  |    0.4423    |   0.7494   | 0.5562  |
[ 59 /300 ]    |  0.5483  |  1.3034  |    0.4402    |   0.7454   | 0.5535  |
[ 60 /300 ]    |  0.4785  |  0.9489  |    0.4229    |   0.7636   | 0.5443  |
[ 61 /300 ]    |  0.4693  |  0.9579  |    0.4482    |   0.7412   | 0.5586  |
[ 62 /300 ]    |  0.4716  |  0.9854  |    0.4362    |   0.7655   | 0.5558  |
[ 63 /300 ]    |  0.5138  |  1.2179  |    0.4345    |   0.7804   | 0.5582  |
[ 64 /300 ]    |  0.4857  |  0.9062  |    0.4465    |   0.7562   | 0.5615  |
[ 65 /300 ]    |  0.4978  |  0.9834  |    0.4494    |   0.7187   | 0.5530  |
[ 66 /300 ]    |  0.5185  |  0.8869  |    0.4435    |   0.7687   | 0.5625  |
[ 67 /300 ]    |  0.5212  |  0.8408  |    0.4553    |   0.7188   | 0.5575  |
[ 68 /300 ]    |  0.5242  |  0.7645  |    0.4623    |   0.7495   | 0.5719  |
[ 69 /300 ]    |  0.5126  |  0.9170  |    0.4289    |   0.7841   | 0.5545  |
[ 70 /300 ]    |  0.5299  |  0.8301  |    0.4399    |   0.7780   | 0.5620  |
[ 71 /300 ]    |  0.6509  |  0.7521  |    0.4709    |   0.7171   | 0.5685  |
[ 72 /300 ]    |  0.5494  |  1.0795  |    0.4218    |   0.8024   | 0.5529  |
[ 73 /300 ]    |  0.6349  |  0.7238  |    0.4682    |   0.7396   | 0.5734  |
[ 74 /300 ]    |  0.5432  |  0.8816  |    0.4612    |   0.7586   | 0.5736  |
[ 75 /300 ]    |  0.5489  |  0.9441  |    0.4631    |   0.7350   | 0.5682  |
