Namespace(attSize=1024, batch_size=512, bc=False, beta1=0.5, class_embedding='att', classifier_lr=0.001, cls_weight=0.1, consistency_weight=1, critic_iter=5, cuda=True, dataroot='/data0/docker/xingyun/mmcgan/data', dataset='FLO', drop_rate=0.2, fusion_iter=3, gzsl=True, hfSize=512, image_embedding='res101', lambda1=10.0, lr=0.0001, manualSeed=None, matdataset=True, nclass_all=102, ndh=4096, nepoch=300, netD_name='MLP_CRITIC', netG_name='MLP_G', ngh=4096, ngpu=1, nrh=4096, nrh1=1024, nrh2=512, nrh3=256, nrh4=128, nz=1024, outf='./checkpoint/', outname='flowers', preprocessing=True, pretrain_classifier='', print_every=1, r_hl=4, r_weight=1, resSize=2048, save_every=100, standardization=False, start_epoch=0, syn_num=800, triple_batch_size=128, val_every=1, validation=False, workers=2)
Random Seed:  6026
# of training samples:  5631
MLP_G(
  (fc1): Linear(in_features=2048, out_features=4096)
  (fc2): Linear(in_features=4096, out_features=2048)
  (lrelu): LeakyReLU(0.2, inplace)
  (relu): ReLU(inplace)
)
MLP_CRITIC(
  (fc1): Linear(in_features=3072, out_features=4096)
  (fc2): Linear(in_features=4096, out_features=1)
  (lrelu): LeakyReLU(0.2, inplace)
)
MLP_DropoutAdapt(
  (fc1): Linear(in_features=2048, out_features=1024)
  (fc2): Linear(in_features=1024, out_features=512)
  (relu): ReLU(inplace)
  (lrelu): LeakyReLU(0.2, inplace)
  (drop): Dropout(p=0.2)
)
EPOCH          |  D_cost  |  G_cost  |  F_cost  |  R_cost  |  Wasserstein_D  |  ACC_unseen  |  ACC_seen  |    H    |
[ 35 /300 ]    | -2.6482  | -0.6966  |  0.4335  |  0.7347  |     2.8008      |    0.2108    |   0.4938   | 0.2955  |
[ 36 /300 ]    | -2.5606  | -0.6367  |  0.4833  |  0.7371  |     2.7353      |    0.2525    |   0.3654   | 0.2987  |
[ 37 /300 ]    | -2.6080  | -0.6749  |  0.4724  |  0.7356  |     2.7440      |    0.2287    |   0.4638   | 0.3064  |
[ 38 /300 ]    | -2.5655  | -0.6680  |  0.3987  |  0.7391  |     2.7262      |    0.2453    |   0.4649   | 0.3212  |
[ 39 /300 ]    | -2.5145  | -0.6257  |  0.3767  |  0.7368  |     2.6706      |    0.2145    |   0.6736   | 0.3253  |
[ 40 /300 ]    | -2.5199  | -0.6312  |  0.5447  |  0.7396  |     2.6567      |    0.2887    |   0.4342   | 0.3468  |
[ 41 /300 ]    | -2.5092  | -0.5652  |  0.5217  |  0.7403  |     2.6561      |    0.2731    |   0.5213   | 0.3584  |
[ 42 /300 ]    | -2.5219  | -0.5745  |  0.5558  |  0.7395  |     2.6497      |    0.2788    |   0.5231   | 0.3637  |
[ 43 /300 ]    | -2.4351  | -0.5064  |  0.3698  |  0.7411  |     2.5683      |    0.2768    |   0.5954   | 0.3779  |
[ 44 /300 ]    | -2.4541  | -0.4307  |  0.4206  |  0.7433  |     2.6152      |    0.2790    |   0.4955   | 0.3570  |
[ 45 /300 ]    | -2.3847  | -0.4498  |  0.4812  |  0.7443  |     2.5309      |    0.2895    |   0.5797   | 0.3861  |
[ 46 /300 ]    | -2.3630  | -0.4166  |  0.5467  |  0.7466  |     2.5022      |    0.2859    |   0.6787   | 0.4023  |
[ 47 /300 ]    | -2.3785  | -0.4403  |  0.4662  |  0.7469  |     2.5035      |    0.3070    |   0.5647   | 0.3977  |
[ 48 /300 ]    | -2.3403  | -0.3646  |  0.4233  |  0.7479  |     2.4750      |    0.2901    |   0.5599   | 0.3821  |
[ 49 /300 ]    | -2.3449  | -0.3823  |  0.3625  |  0.7476  |     2.4793      |    0.3384    |   0.5363   | 0.4150  |
[ 50 /300 ]    | -2.3769  | -0.3079  |  0.4359  |  0.7447  |     2.5196      |    0.2999    |   0.6066   | 0.4014  |
[ 51 /300 ]    | -2.3288  | -0.3141  |  0.4170  |  0.7478  |     2.4485      |    0.3327    |   0.5929   | 0.4262  |
[ 52 /300 ]    | -2.2855  | -0.2701  |  0.3340  |  0.7482  |     2.4143      |    0.3049    |   0.6368   | 0.4124  |
[ 53 /300 ]    | -2.3019  | -0.2470  |  0.4489  |  0.7480  |     2.4154      |    0.3392    |   0.6194   | 0.4384  |
[ 54 /300 ]    | -2.2208  | -0.2867  |  0.4288  |  0.7491  |     2.3497      |    0.3340    |   0.6538   | 0.4421  |
[ 55 /300 ]    | -2.2356  | -0.2141  |  0.3350  |  0.7498  |     2.3378      |    0.3142    |   0.6799   | 0.4297  |
[ 56 /300 ]    | -2.2013  | -0.2461  |  0.5081  |  0.7493  |     2.2832      |    0.3472    |   0.6103   | 0.4426  |
[ 57 /300 ]    | -2.2115  | -0.1496  |  0.4010  |  0.7506  |     2.3362      |    0.3647    |   0.6054   | 0.4552  |
[ 58 /300 ]    | -2.1672  | -0.0613  |  0.4948  |  0.7519  |     2.3013      |    0.3682    |   0.6032   | 0.4572  |
[ 59 /300 ]    | -2.1586  | -0.1933  |  0.3359  |  0.7506  |     2.2540      |    0.3557    |   0.6703   | 0.4648  |
[ 60 /300 ]    | -2.1830  | -0.1441  |  0.4517  |  0.7526  |     2.3123      |    0.3618    |   0.6339   | 0.4607  |
[ 61 /300 ]    | -2.1255  | -0.0677  |  0.4534  |  0.7531  |     2.2314      |    0.3797    |   0.6245   | 0.4723  |
[ 62 /300 ]    | -2.1443  | -0.0957  |  0.3334  |  0.7509  |     2.2462      |    0.3519    |   0.7039   | 0.4692  |
[ 63 /300 ]    | -2.1307  | -0.0812  |  0.5251  |  0.7535  |     2.2347      |    0.3643    |   0.6774   | 0.4737  |
[ 64 /300 ]    | -2.0726  | -0.0685  |  0.4984  |  0.7532  |     2.1888      |    0.3817    |   0.6410   | 0.4785  |
[ 65 /300 ]    | -2.0653  |  0.0340  |  0.6195  |  0.7553  |     2.1907      |    0.3664    |   0.7336   | 0.4887  |
[ 66 /300 ]    | -2.1022  |  0.1272  |  0.3730  |  0.7555  |     2.2167      |    0.3834    |   0.7360   | 0.5042  |
[ 67 /300 ]    | -2.0674  |  0.0656  |  0.4724  |  0.7570  |     2.1824      |    0.3828    |   0.7033   | 0.4957  |
