Namespace(adv_steps=5, attSize=85, batch_size=512, beta1=0.5, class_embedding='att', classifier_lr=0.001, cls_weight=0.01, critic_iter=5, cuda=True, dataroot='/data0/docker/xingyun/mmcgan/data', dataset='AWA1', drop_rate=0.2, epsilon=0.0625, fusion_iter=2, gzsl=True, hfSize=512, image_embedding='res101', lambda1=10.0, lr=1e-05, manualSeed=None, matdataset=True, nclass_all=50, ndh=4096, nepoch=200, netD='', netD_name='MLP_CRITIC', netG='', netG_name='MLP_G', ngh=4096, ngpu=1, nrh1=1024, nrh2=512, nrh3=256, nrh4=128, ntrain_class=40, nz=85, outf='./checkpoint/', outname='awa', preprocessing=True, pretrain_classifier='', print_every=1, r_hl=4, r_weight=1, resSize=2048, save_every=100, standardization=False, start_epoch=0, syn_num=3200, triple_batch_size=128, val_every=1, validation=False, workers=2)
Random Seed:  1653
# of training samples:  19832
MLP_G(
  (fc1): Linear(in_features=170, out_features=4096)
  (fc2): Linear(in_features=4096, out_features=2048)
  (lrelu): LeakyReLU(0.2, inplace)
  (relu): ReLU(inplace)
)
robDis(
  (fc1): Linear(in_features=2133, out_features=4096)
  (bin): Linear(in_features=4096, out_features=1)
  (multi): Linear(in_features=4096, out_features=40)
  (relu): ReLU(inplace)
)
EPOCH          |  D_cost  |  G_cost  |  ACC_unseen  |  ACC_seen  |    H    |
[ 53 /200 ]    |  0.9780  |  0.5874  |    0.5112    |   0.6408   | 0.5687  |
[ 54 /200 ]    |  0.9853  |  0.5852  |    0.5197    |   0.6363   | 0.5721  |
[ 55 /200 ]    |  0.9737  |  0.5921  |    0.5080    |   0.6430   | 0.5676  |
[ 56 /200 ]    |  0.9766  |  0.5750  |    0.5214    |   0.6385   | 0.5740  |
[ 57 /200 ]    |  0.9676  |  0.5852  |    0.5273    |   0.6409   | 0.5786  |
[ 58 /200 ]    |  0.9722  |  0.5787  |    0.5221    |   0.6413   | 0.5756  |
[ 59 /200 ]    |  0.9739  |  0.5870  |    0.5281    |   0.6319   | 0.5753  |
[ 60 /200 ]    |  0.9587  |  0.5797  |    0.5009    |   0.6692   | 0.5730  |
[ 61 /200 ]    |  0.9722  |  0.5767  |    0.5302    |   0.6344   | 0.5776  |
[ 62 /200 ]    |  0.9672  |  0.5685  |    0.5212    |   0.6375   | 0.5735  |
[ 63 /200 ]    |  0.9644  |  0.5725  |    0.5398    |   0.6064   | 0.5712  |
[ 64 /200 ]    |  0.9685  |  0.5674  |    0.5011    |   0.6729   | 0.5744  |
[ 65 /200 ]    |  0.9635  |  0.5699  |    0.5091    |   0.6660   | 0.5770  |
[ 66 /200 ]    |  0.9607  |  0.5687  |    0.5271    |   0.6316   | 0.5746  |
[ 67 /200 ]    |  0.9571  |  0.5700  |    0.5324    |   0.6305   | 0.5773  |
[ 68 /200 ]    |  0.9611  |  0.5740  |    0.5325    |   0.6318   | 0.5779  |
[ 69 /200 ]    |  0.9625  |  0.5594  |    0.5285    |   0.6349   | 0.5768  |
[ 70 /200 ]    |  0.9560  |  0.5648  |    0.5237    |   0.6346   | 0.5738  |
[ 71 /200 ]    |  0.9603  |  0.5685  |    0.5261    |   0.6403   | 0.5776  |
[ 72 /200 ]    |  0.9573  |  0.5634  |    0.5366    |   0.6357   | 0.5820  |
[ 73 /200 ]    |  0.9573  |  0.5607  |    0.5243    |   0.6363   | 0.5749  |
[ 74 /200 ]    |  0.9545  |  0.5642  |    0.5209    |   0.6626   | 0.5833  |
[ 75 /200 ]    |  0.9575  |  0.5592  |    0.5118    |   0.6667   | 0.5790  |
[ 76 /200 ]    |  0.9518  |  0.5586  |    0.5323    |   0.6342   | 0.5788  |
[ 77 /200 ]    |  0.9494  |  0.5600  |    0.5313    |   0.6308   | 0.5768  |
[ 78 /200 ]    |  0.9543  |  0.5582  |    0.5282    |   0.6397   | 0.5786  |
[ 79 /200 ]    |  0.9544  |  0.5656  |    0.5162    |   0.6641   | 0.5809  |
[ 80 /200 ]    |  0.9506  |  0.5637  |    0.5277    |   0.6341   | 0.5761  |
[ 81 /200 ]    |  0.9491  |  0.5644  |    0.5323    |   0.6340   | 0.5787  |
[ 82 /200 ]    |  0.9487  |  0.5625  |    0.5101    |   0.6624   | 0.5763  |
[ 83 /200 ]    |  0.9546  |  0.5676  |    0.5497    |   0.6250   | 0.5849  |
[ 84 /200 ]    |  0.9564  |  0.5620  |    0.5074    |   0.6690   | 0.5771  |
[ 85 /200 ]    |  0.9507  |  0.5610  |    0.5156    |   0.6641   | 0.5805  |
[ 86 /200 ]    |  0.9533  |  0.5620  |    0.5238    |   0.6658   | 0.5863  |
[ 87 /200 ]    |  0.9501  |  0.5556  |    0.5185    |   0.6619   | 0.5815  |
[ 88 /200 ]    |  0.9546  |  0.5619  |    0.5453    |   0.6286   | 0.5840  |
[ 89 /200 ]    |  0.9529  |  0.5585  |    0.5263    |   0.6604   | 0.5858  |
[ 90 /200 ]    |  0.9533  |  0.5569  |    0.5341    |   0.6582   | 0.5897  |
[ 91 /200 ]    |  0.9558  |  0.5584  |    0.5451    |   0.6299   | 0.5844  |
[ 92 /200 ]    |  0.9499  |  0.5644  |    0.5510    |   0.6309   | 0.5883  |
[ 93 /200 ]    |  0.9601  |  0.5607  |    0.5385    |   0.6290   | 0.5802  |
[ 94 /200 ]    |  0.9570  |  0.5491  |    0.5484    |   0.6255   | 0.5844  |
[ 95 /200 ]    |  0.9515  |  0.5613  |    0.5424    |   0.6314   | 0.5835  |
[ 96 /200 ]    |  0.9500  |  0.5631  |    0.5437    |   0.6286   | 0.5831  |
[ 97 /200 ]    |  0.9503  |  0.5548  |    0.5060    |   0.6877   | 0.5830  |
[ 98 /200 ]    |  0.9480  |  0.5593  |    0.5507    |   0.6314   | 0.5883  |
[ 99 /200 ]    |  0.9562  |  0.5507  |    0.5227    |   0.6650   | 0.5854  |
[100 /200 ]    |  0.9480  |  0.5602  |    0.5312    |   0.6584   | 0.5880  |
[101 /200 ]    |  0.9537  |  0.5568  |    0.5330    |   0.6578   | 0.5889  |
[102 /200 ]    |  0.9584  |  0.5579  |    0.5359    |   0.6612   | 0.5920  |
