Namespace(attSize=85, batch_size=512, bc=False, beta1=0.5, class_embedding='att', classifier_lr=0.001, cls_weight=0.01, consistency_weight=1, critic_iter=5, cuda=True, dataroot='/data0/docker/xingyun/mmcgan/data', dataset='AWA1', drop_rate=0.2, fusion_iter=3, gzsl=True, hfSize=512, image_embedding='res101', lambda1=10.0, lr=1e-05, manualSeed=None, matdataset=True, nclass_all=50, ndh=4096, nepoch=200, netD_name='MLP_CRITIC', netG_name='MLP_G', ngh=4096, ngpu=1, nrh=4096, nrh1=1024, nrh2=512, nrh3=256, nrh4=128, nz=85, outname='awa', preprocessing=True, pretrain_classifier='', print_every=1, r_hl=4, r_weight=1, resSize=2048, save_every=100, standardization=False, start_epoch=0, syn_num=3200, triple_batch_size=128, val_every=1, validation=False, workers=2)
Random Seed:  6030
# of training samples:  19832
MLP_G(
  (fc1): Linear(in_features=170, out_features=4096)
  (fc2): Linear(in_features=4096, out_features=2048)
  (lrelu): LeakyReLU(0.2, inplace)
  (relu): ReLU(inplace)
)
MLP_CRITIC(
  (fc1): Linear(in_features=2133, out_features=4096)
  (fc2): Linear(in_features=4096, out_features=1)
  (lrelu): LeakyReLU(0.2, inplace)
)
MLP_DropoutAdapt(
  (fc1): Linear(in_features=2048, out_features=1024)
  (fc2): Linear(in_features=1024, out_features=512)
  (relu): ReLU(inplace)
  (lrelu): LeakyReLU(0.2, inplace)
  (drop): Dropout(p=0.2)
)
EPOCH          |  D_cost  |  G_cost  |  F_cost  |  R_cost  |  Wasserstein_D  |  ACC_unseen  |  ACC_seen  |    H    |
[ 35 /200 ]    | -0.9483  | -0.4160  |  0.0740  |  0.8918  |     0.9829      |    0.3109    |   0.6899   | 0.4287  |
[ 36 /200 ]    | -0.9166  | -0.4328  |  0.0388  |  0.8931  |     0.9480      |    0.3513    |   0.5478   | 0.4281  |
[ 37 /200 ]    | -0.8894  | -0.4746  |  0.0616  |  0.8956  |     0.9206      |    0.3406    |   0.5942   | 0.4330  |
[ 38 /200 ]    | -0.9097  | -0.4523  |  0.0605  |  0.8997  |     0.9412      |    0.3495    |   0.6243   | 0.4481  |
[ 39 /200 ]    | -0.9065  | -0.4674  |  0.0913  |  0.9021  |     0.9377      |    0.3662    |   0.5361   | 0.4351  |
[ 40 /200 ]    | -0.8972  | -0.4294  |  0.0550  |  0.9048  |     0.9310      |    0.3585    |   0.6438   | 0.4606  |
[ 41 /200 ]    | -0.8892  | -0.4096  |  0.1040  |  0.9088  |     0.9198      |    0.3506    |   0.6453   | 0.4544  |
[ 42 /200 ]    | -0.9158  | -0.4281  |  0.0889  |  0.9120  |     0.9488      |    0.3918    |   0.6083   | 0.4766  |
[ 43 /200 ]    | -0.8967  | -0.3819  |  0.1010  |  0.9140  |     0.9303      |    0.4031    |   0.5968   | 0.4812  |
[ 44 /200 ]    | -0.8749  | -0.4014  |  0.0670  |  0.9170  |     0.9091      |    0.4071    |   0.6013   | 0.4855  |
[ 45 /200 ]    | -0.8356  | -0.4423  |  0.0512  |  0.9200  |     0.8692      |    0.4454    |   0.5966   | 0.5101  |
[ 46 /200 ]    | -0.8733  | -0.4657  |  0.1267  |  0.9188  |     0.9056      |    0.4171    |   0.5994   | 0.4919  |
[ 47 /200 ]    | -0.8635  | -0.4422  |  0.0360  |  0.9214  |     0.8967      |    0.4122    |   0.6445   | 0.5028  |
[ 48 /200 ]    | -0.8669  | -0.4316  |  0.1118  |  0.9230  |     0.9005      |    0.4148    |   0.6446   | 0.5048  |
[ 49 /200 ]    | -0.8837  | -0.4875  |  0.0355  |  0.9278  |     0.9232      |    0.4138    |   0.6467   | 0.5047  |
[ 50 /200 ]    | -0.8461  | -0.4496  |  0.0670  |  0.9279  |     0.8795      |    0.4141    |   0.6423   | 0.5036  |
[ 51 /200 ]    | -0.8665  | -0.4461  |  0.0915  |  0.9276  |     0.9053      |    0.4256    |   0.6341   | 0.5094  |
[ 52 /200 ]    | -0.8818  | -0.4728  |  0.0149  |  0.9290  |     0.9178      |    0.4177    |   0.6383   | 0.5050  |
[ 53 /200 ]    | -0.8669  | -0.4676  |  0.0321  |  0.9310  |     0.9037      |    0.4408    |   0.6093   | 0.5115  |
[ 54 /200 ]    | -0.8707  | -0.4510  |  0.0892  |  0.9338  |     0.9092      |    0.4310    |   0.6523   | 0.5191  |
[ 55 /200 ]    | -0.8854  | -0.5021  |  0.0622  |  0.9328  |     0.9233      |    0.4334    |   0.6750   | 0.5279  |
[ 56 /200 ]    | -0.8984  | -0.4980  |  0.0925  |  0.9330  |     0.9358      |    0.4258    |   0.6740   | 0.5219  |
[ 57 /200 ]    | -0.9191  | -0.4598  |  0.0721  |  0.9355  |     0.9619      |    0.4492    |   0.6356   | 0.5264  |
[ 58 /200 ]    | -0.8753  | -0.5056  |  0.0915  |  0.9369  |     0.9155      |    0.4465    |   0.6560   | 0.5314  |
[ 59 /200 ]    | -0.8973  | -0.5577  |  0.0899  |  0.9374  |     0.9394      |    0.4597    |   0.6356   | 0.5336  |
[ 60 /200 ]    | -0.8782  | -0.5086  |  0.0338  |  0.9391  |     0.9159      |    0.4357    |   0.6527   | 0.5226  |
[ 61 /200 ]    | -0.9225  | -0.5281  |  0.0303  |  0.9415  |     0.9681      |    0.4547    |   0.6339   | 0.5295  |
[ 62 /200 ]    | -0.8929  | -0.5388  |  0.0619  |  0.9402  |     0.9348      |    0.4541    |   0.6514   | 0.5351  |
[ 63 /200 ]    | -0.8638  | -0.5371  |  0.0829  |  0.9439  |     0.9077      |    0.4727    |   0.6295   | 0.5399  |
[ 64 /200 ]    | -0.8800  | -0.6023  |  0.0187  |  0.9459  |     0.9263      |    0.4917    |   0.6064   | 0.5430  |
[ 65 /200 ]    | -0.8846  | -0.5815  |  0.0412  |  0.9464  |     0.9269      |    0.4780    |   0.6565   | 0.5532  |
[ 66 /200 ]    | -0.8694  | -0.5417  |  0.0332  |  0.9463  |     0.9109      |    0.4903    |   0.6303   | 0.5516  |
[ 67 /200 ]    | -0.9147  | -0.5602  |  0.0482  |  0.9495  |     0.9586      |    0.4893    |   0.6345   | 0.5525  |
