Namespace(adv_steps=5, att_size=85, batch_size=1024, beta1=0.5, class_embedding='att', classifier_lr=0.001, cls_weight=0.01, critic_iter=5, cuda=True, dataroot='/data0/docker/xingyun/mmcgan/data', dataset='AWA2', drop_rate=0.2, epsilon=0.0625, fusion_iter=2, gzsl=True, hfSize=512, image_embedding='res101', lambda1=10.0, lr=1e-05, manualSeed=None, matdataset=True, nclass_all=50, dis_hu=4096, nepoch=200, netD='', netD_name='MLP_CRITIC', netG='', netG_name='MLP_G', gen_hu=4096, ngpu=1, nrh1=1024, nrh2=512, nrh3=256, nrh4=128, ntrain_class=40, nz=85, outf='./checkpoint/', outname='awa2', preprocessing=True, pretrain_classifier='', print_every=1, r_hl=4, r_weight=1, res_size=2048, save_every=100, standardization=False, start_epoch=0, syn_num=2000, triple_batch_size=128, val_every=1, validation=False, workers=2)
Random Seed:  7420
# of training samples:  23527
MLP_G(
  (fc1): Linear(in_features=170, out_features=4096)
  (fc2): Linear(in_features=4096, out_features=2048)
  (lrelu): LeakyReLU(0.2, inplace)
  (relu): ReLU(inplace)
)
robDis(
  (fc1): Linear(in_features=2133, out_features=4096)
  (bin): Linear(in_features=4096, out_features=1)
  (multi): Linear(in_features=4096, out_features=40)
  (relu): ReLU(inplace)
)
EPOCH          |  D_cost  |  G_cost  |  ACC_unseen  |  ACC_seen  |    H    |
[ 53 /200 ]    |  1.0190  |  0.6792  |    0.4403    |   0.5935   | 0.5055  |
[ 54 /200 ]    |  1.0234  |  0.6688  |    0.4568    |   0.5931   | 0.5161  |
[ 55 /200 ]    |  1.0175  |  0.6640  |    0.4713    |   0.5851   | 0.5221  |
[ 56 /200 ]    |  1.0046  |  0.6571  |    0.4697    |   0.5853   | 0.5212  |
[ 57 /200 ]    |  1.0109  |  0.6510  |    0.4638    |   0.5897   | 0.5192  |
[ 58 /200 ]    |  1.0040  |  0.6483  |    0.4591    |   0.5837   | 0.5140  |
[ 59 /200 ]    |  1.0004  |  0.6524  |    0.4501    |   0.5943   | 0.5123  |
[ 60 /200 ]    |  1.0024  |  0.6366  |    0.4511    |   0.5871   | 0.5102  |
[ 61 /200 ]    |  0.9955  |  0.6359  |    0.4687    |   0.5883   | 0.5217  |
[ 62 /200 ]    |  0.9970  |  0.6424  |    0.4554    |   0.5902   | 0.5141  |
[ 63 /200 ]    |  0.9980  |  0.6418  |    0.4983    |   0.5892   | 0.5400  |
[ 64 /200 ]    |  0.9874  |  0.6336  |    0.5032    |   0.5875   | 0.5421  |
[ 65 /200 ]    |  0.9929  |  0.6273  |    0.4912    |   0.5894   | 0.5359  |
[ 66 /200 ]    |  0.9805  |  0.6235  |    0.5365    |   0.5768   | 0.5560  |
[ 67 /200 ]    |  0.9841  |  0.6160  |    0.5055    |   0.5770   | 0.5389  |
[ 68 /200 ]    |  0.9894  |  0.6212  |    0.5006    |   0.5767   | 0.5360  |
[ 69 /200 ]    |  0.9814  |  0.6106  |    0.4860    |   0.5927   | 0.5341  |
[ 70 /200 ]    |  0.9888  |  0.6105  |    0.4726    |   0.5782   | 0.5201  |
[ 71 /200 ]    |  0.9811  |  0.6120  |    0.5118    |   0.5829   | 0.5450  |
[ 72 /200 ]    |  0.9851  |  0.6099  |    0.5041    |   0.5692   | 0.5346  |
[ 73 /200 ]    |  0.9764  |  0.6126  |    0.4808    |   0.5836   | 0.5272  |
[ 74 /200 ]    |  0.9795  |  0.6086  |    0.4903    |   0.5889   | 0.5351  |
[ 75 /200 ]    |  0.9770  |  0.6024  |    0.5156    |   0.5639   | 0.5387  |
[ 76 /200 ]    |  0.9783  |  0.5990  |    0.5155    |   0.5777   | 0.5448  |
[ 77 /200 ]    |  0.9753  |  0.5982  |    0.5207    |   0.5890   | 0.5527  |
[ 78 /200 ]    |  0.9653  |  0.5922  |    0.4334    |   0.6645   | 0.5246  |
[ 79 /200 ]    |  0.9696  |  0.5951  |    0.5076    |   0.5858   | 0.5439  |
