Namespace(attSize=64, batch_size=256, bc=False, beta1=0.5, class_embedding='att', classifier_lr=0.001, cls_weight=0.01, consistency_weight=1, critic_iter=5, cuda=True, dataroot='/data0/docker/xingyun/mmcgan/data', dataset='APY', drop_rate=0.2, fusion_iter=3, gzsl=True, hfSize=512, image_embedding='res101', lambda1=10.0, lr=1e-05, manualSeed=None, matdataset=True, nclass_all=32, ndh=4096, nepoch=100, netD_name='MLP_CRITIC', netG_name='MLP_G', ngh=4096, ngpu=1, nrh=4096, nrh1=1024, nrh2=512, nrh3=256, nrh4=128, nz=64, outname='apy', preprocessing=True, pretrain_classifier='', print_every=1, r_hl=2, r_weight=1, resSize=2048, save_every=100, standardization=False, start_epoch=0, syn_num=1400, triple_batch_size=128, val_every=1, validation=False, workers=2)
Random Seed:  9353
# of training samples:  5932
MLP_G(
  (fc1): Linear(in_features=128, out_features=4096)
  (fc2): Linear(in_features=4096, out_features=2048)
  (lrelu): LeakyReLU(0.2, inplace)
  (relu): ReLU(inplace)
)
MLP_CRITIC(
  (fc1): Linear(in_features=2112, out_features=4096)
  (fc2): Linear(in_features=4096, out_features=1)
  (lrelu): LeakyReLU(0.2, inplace)
)
MLP_DropoutAdapt(
  (fc1): Linear(in_features=2048, out_features=1024)
  (fc2): Linear(in_features=1024, out_features=512)
  (relu): ReLU(inplace)
  (lrelu): LeakyReLU(0.2, inplace)
  (drop): Dropout(p=0.2)
)
EPOCH          |  D_cost  |  G_cost  |  F_cost  |  R_cost  |  Wasserstein_D  |  ACC_unseen  |  ACC_seen  |    H    |
[ 35 /100 ]    | -1.5423  | -0.3704  |  0.1446  |  0.9304  |     1.6033      |    0.2195    |   0.4163   | 0.2874  |
[ 36 /100 ]    | -1.4540  | -0.4039  |  0.1133  |  0.9339  |     1.5067      |    0.2065    |   0.5027   | 0.2928  |
[ 37 /100 ]    | -1.3934  | -0.4724  |  0.1410  |  0.9333  |     1.4499      |    0.2295    |   0.4870   | 0.3120  |
[ 38 /100 ]    | -1.4112  | -0.4910  |  0.1446  |  0.9422  |     1.4596      |    0.1865    |   0.4639   | 0.2661  |
[ 39 /100 ]    | -1.3255  | -0.4738  |  0.2087  |  0.9409  |     1.3731      |    0.2165    |   0.3733   | 0.2740  |
[ 40 /100 ]    | -1.3250  | -0.5579  |  0.0526  |  0.9369  |     1.3719      |    0.2232    |   0.4877   | 0.3062  |
[ 41 /100 ]    | -1.2601  | -0.6035  |  0.2054  |  0.9425  |     1.3053      |    0.2432    |   0.4647   | 0.3193  |
[ 42 /100 ]    | -1.2402  | -0.6415  |  0.0541  |  0.9445  |     1.2831      |    0.2141    |   0.4671   | 0.2936  |
[ 43 /100 ]    | -1.1928  | -0.6417  |  0.1297  |  0.9468  |     1.2344      |    0.1860    |   0.6039   | 0.2844  |
[ 44 /100 ]    | -1.1971  | -0.6756  |  0.0734  |  0.9488  |     1.2401      |    0.2026    |   0.5816   | 0.3005  |
[ 45 /100 ]    | -1.1399  | -0.6873  |  0.0589  |  0.9456  |     1.1767      |    0.2171    |   0.5877   | 0.3170  |
[ 46 /100 ]    | -1.1334  | -0.6960  |  0.1572  |  0.9409  |     1.1737      |    0.2193    |   0.5112   | 0.3069  |
[ 47 /100 ]    | -1.0557  | -0.7894  |  0.0839  |  0.9499  |     1.0885      |    0.2150    |   0.5734   | 0.3127  |
[ 48 /100 ]    | -1.0815  | -0.7759  |  0.1080  |  0.9526  |     1.1182      |    0.2051    |   0.5160   | 0.2936  |
[ 49 /100 ]    | -1.0883  | -0.8274  |  0.0813  |  0.9461  |     1.1247      |    0.2042    |   0.6521   | 0.3110  |
[ 50 /100 ]    | -1.0784  | -0.8373  |  0.0736  |  0.9531  |     1.1148      |    0.2264    |   0.5969   | 0.3283  |
[ 51 /100 ]    | -1.0663  | -0.8183  |  0.1254  |  0.9504  |     1.1038      |    0.2289    |   0.4979   | 0.3136  |
[ 52 /100 ]    | -1.0537  | -0.8154  |  0.0890  |  0.9496  |     1.0892      |    0.2132    |   0.6551   | 0.3217  |
[ 53 /100 ]    | -1.0142  | -0.8050  |  0.1431  |  0.9501  |     1.0495      |    0.2249    |   0.5972   | 0.3267  |
[ 54 /100 ]    | -1.0047  | -0.8509  |  0.0269  |  0.9560  |     1.0373      |    0.2451    |   0.5041   | 0.3298  |
[ 55 /100 ]    | -1.0090  | -0.9010  |  0.1828  |  0.9522  |     1.0465      |    0.2358    |   0.5569   | 0.3313  |
[ 56 /100 ]    | -0.9933  | -0.8690  |  0.0919  |  0.9547  |     1.0339      |    0.2396    |   0.5472   | 0.3332  |
[ 57 /100 ]    | -1.0216  | -0.8831  |  0.0536  |  0.9530  |     1.0579      |    0.2383    |   0.5471   | 0.3320  |
[ 58 /100 ]    | -1.0173  | -0.8659  |  0.1469  |  0.9542  |     1.0570      |    0.2438    |   0.5478   | 0.3374  |
[ 59 /100 ]    | -0.9701  | -0.8398  |  0.1121  |  0.9546  |     1.0131      |    0.2526    |   0.5455   | 0.3453  |
[ 60 /100 ]    | -1.0039  | -0.8611  |  0.1394  |  0.9542  |     1.0386      |    0.2501    |   0.5399   | 0.3419  |
[ 61 /100 ]    | -1.0194  | -0.9055  |  0.0522  |  0.9584  |     1.0635      |    0.2488    |   0.5414   | 0.3409  |
[ 62 /100 ]    | -1.0081  | -0.8743  |  0.1394  |  0.9587  |     1.0524      |    0.2640    |   0.5224   | 0.3507  |
[ 63 /100 ]    | -0.9984  | -0.8983  |  0.0533  |  0.9565  |     1.0368      |    0.2502    |   0.4796   | 0.3288  |
[ 64 /100 ]    | -1.0161  | -0.8961  |  0.0513  |  0.9607  |     1.0627      |    0.2346    |   0.6285   | 0.3417  |
[ 65 /100 ]    | -1.0023  | -0.8560  |  0.0777  |  0.9632  |     1.0499      |    0.2658    |   0.5278   | 0.3536  |
[ 66 /100 ]    | -0.9986  | -0.8908  |  0.0790  |  0.9630  |     1.0384      |    0.2418    |   0.5394   | 0.3339  |
[ 67 /100 ]    | -1.0133  | -0.8875  |  0.0334  |  0.9629  |     1.0556      |    0.2876    |   0.5719   | 0.3827  |
[ 68 /100 ]    | -1.0092  | -0.8888  |  0.0638  |  0.9616  |     1.0520      |    0.2476    |   0.5679   | 0.3449  |
[ 69 /100 ]    | -0.9981  | -0.8325  |  0.0320  |  0.9653  |     1.0448      |    0.2376    |   0.6296   | 0.3450  |
[ 70 /100 ]    | -0.9461  | -0.8343  |  0.0481  |  0.9679  |     0.9910      |    0.2507    |   0.5803   | 0.3502  |
[ 71 /100 ]    | -0.9914  | -0.8531  |  0.0671  |  0.9678  |     1.0396      |    0.2959    |   0.5764   | 0.3911  |
