Namespace(att_size=1024, batch_size=1024, bc=False, beta1=0.5, class_embedding='att', classifier_lr=0.001, cls_weight=0.1, consistency_weight=1, critic_iter=5, cuda=True, dataroot='/data0/docker/xingyun/mmcgan/data', dataset='FLO', drop_rate=0.2, gzsl=True, image_embedding='res101', lambda1=10.0, lr=0.0001, manualSeed=806, matdataset=True, nclass_all=102, dis_hu=4096, nepoch=300, netD='', netD_name='MLP_CRITIC', netG='', netG_name='MLP_G', gen_hu=4096, ngpu=1, njh=170, nrgh=4096, nrgh1=1024, nrgh2=512, nrgh3=256, nrgh4=128, nrh=4096, nrh1=1024, nrh2=512, nrh3=256, nrh4=128, nz=1024, outf='./checkpoint/', outname='flowers', preprocessing=True, pretrain_classifier='', print_every=1, r_hl=4, r_iteration=3, r_nz=2048, r_path='/home/xingyun/docker/mmcgan/r_param', r_weight=1, res_size=2048, reverse_iter=5, rg_hl=1, save_every=100, standardization=False, start_epoch=0, syn_num=800, val_every=1, validation=False, workers=2)
Random Seed:  806
# of training samples:  5631
MLP_G(
  (fc1): Linear(in_features=2048, out_features=4096)
  (fc2): Linear(in_features=4096, out_features=2048)
  (lrelu): LeakyReLU(0.2, inplace)
  (relu): ReLU(inplace)
)
MLP_CRITIC(
  (fc1): Linear(in_features=3072, out_features=4096)
  (fc2): Linear(in_features=4096, out_features=1)
  (lrelu): LeakyReLU(0.2, inplace)
)
MLP_4HL_Dropout_R(
  (fc1): Linear(in_features=2048, out_features=1024)
  (fc2): Linear(in_features=1024, out_features=512)
  (fc3): Linear(in_features=512, out_features=256)
  (fc4): Linear(in_features=256, out_features=128)
  (fc5): Linear(in_features=128, out_features=1024)
  (relu): ReLU(inplace)
  (lrelu): LeakyReLU(0.2, inplace)
  (dropout): Dropout(p=0.2)
)
EPOCH          |  D_cost  |  G_cost  |  R_cost  |  Wasserstein_D  |  ACC_unseen  |  ACC_seen  |    H    |
[ 37 /300 ]    | -2.6461  | -0.7980  |  0.7217  |     2.7816      |    0.0909    |   0.5032   | 0.1540  |
[ 38 /300 ]    | -2.6016  | -0.8519  |  0.7248  |     2.6996      |    0.0852    |   0.5067   | 0.1459  |
[ 39 /300 ]    | -2.6197  | -0.8129  |  0.7233  |     2.7738      |    0.1229    |   0.3312   | 0.1793  |
[ 40 /300 ]    | -2.6339  | -0.8309  |  0.7231  |     2.7682      |    0.0919    |   0.4783   | 0.1542  |
[ 41 /300 ]    | -2.6386  | -0.8802  |  0.7229  |     2.7147      |    0.1093    |   0.3311   | 0.1643  |
[ 42 /300 ]    | -2.6311  | -0.8398  |  0.7228  |     2.7298      |    0.1116    |   0.4916   | 0.1819  |
[ 43 /300 ]    | -2.6365  | -0.8560  |  0.7211  |     2.7779      |    0.1300    |   0.3134   | 0.1838  |
[ 44 /300 ]    | -2.5809  | -0.8220  |  0.7245  |     2.7136      |    0.1398    |   0.3245   | 0.1954  |
[ 45 /300 ]    | -2.5749  | -0.8605  |  0.7237  |     2.6715      |    0.1187    |   0.4676   | 0.1893  |
[ 46 /300 ]    | -2.6232  | -0.8182  |  0.7242  |     2.7693      |    0.1415    |   0.4522   | 0.2155  |
[ 47 /300 ]    | -2.6024  | -0.7855  |  0.7239  |     2.7810      |    0.1225    |   0.5596   | 0.2011  |
[ 48 /300 ]    | -2.5930  | -0.8507  |  0.7248  |     2.7250      |    0.1405    |   0.4435   | 0.2134  |
[ 49 /300 ]    | -2.5680  | -0.7845  |  0.7273  |     2.7506      |    0.1708    |   0.4340   | 0.2451  |
[ 50 /300 ]    | -2.5405  | -0.7433  |  0.7279  |     2.7409      |    0.1581    |   0.4410   | 0.2328  |
[ 51 /300 ]    | -2.5378  | -0.8882  |  0.7300  |     2.6413      |    0.1724    |   0.4120   | 0.2431  |
[ 52 /300 ]    | -2.5263  | -0.8138  |  0.7294  |     2.6513      |    0.1760    |   0.5439   | 0.2660  |
[ 53 /300 ]    | -2.5586  | -0.8360  |  0.7311  |     2.6638      |    0.1616    |   0.5483   | 0.2496  |
[ 54 /300 ]    | -2.5185  | -0.7880  |  0.7308  |     2.6686      |    0.1718    |   0.4101   | 0.2421  |
[ 55 /300 ]    | -2.5041  | -0.8405  |  0.7319  |     2.6439      |    0.1817    |   0.5218   | 0.2695  |
