Namespace(attSize=85, batch_size=1024, bc=False, beta1=0.5, class_embedding='att', classifier_lr=0.001, cls_weight=0.01, consistency_weight=1, critic_iter=5, cuda=True, dataroot='/data0/docker/xingyun/mmcgan/data', dataset='AWA1', drop_rate=0.2, gzsl=True, image_embedding='res101', lambda1=10.0, lr=1e-05, manualSeed=9182, matdataset=True, nclass_all=50, ndh=4096, nepoch=300, netD='', netD_name='MLP_CRITIC', netG='', netG_name='MLP_G', ngh=4096, ngpu=1, nrh=4096, nrh1=1024, nrh2=512, nrh3=312, nrh4=156, nz=85, outf='./checkpoint/', outname='awa', preprocessing=True, pretrain_classifier='', print_every=1, r_hl=1, r_iteration=3, r_path='/home/xingyun/docker/mmcgan/r_param', r_weight=1, resSize=2048, reverse_iter=5, save_every=100, standardization=False, start_epoch=0, syn_num=3000, val_every=1, validation=False, workers=2)
Random Seed:  9182
# of training samples:  19832
MLP_G(
  (fc1): Linear(in_features=170, out_features=4096)
  (fc2): Linear(in_features=4096, out_features=2048)
  (lrelu): LeakyReLU(0.2, inplace)
  (relu): ReLU(inplace)
)
MLP_CRITIC(
  (fc1): Linear(in_features=2133, out_features=4096)
  (fc2): Linear(in_features=4096, out_features=1)
  (lrelu): LeakyReLU(0.2, inplace)
)
MLP_4HL_Dropout_R(
  (fc1): Linear(in_features=2048, out_features=1024)
  (fc2): Linear(in_features=1024, out_features=512)
  (fc3): Linear(in_features=512, out_features=312)
  (fc4): Linear(in_features=312, out_features=156)
  (fc5): Linear(in_features=156, out_features=85)
  (relu): ReLU(inplace)
  (lrelu): LeakyReLU(0.2, inplace)
  (dropout): Dropout(p=0.2)
)
EPOCH          |  D_cost  |  G_cost  |  R_cost  |  Wasserstein_D  |  ACC_seen  |  ACC_unseen  |    H    |
[ 38 /300 ]    | -1.5210  | -0.1821  |  0.8302  |     1.5823      |   0.1809   |    0.5237    | 0.2689  |
[ 39 /300 ]    | -1.4702  | -0.2086  |  0.8382  |     1.5274      |   0.2184   |    0.5115    | 0.3061  |
[ 40 /300 ]    | -1.4547  | -0.2060  |  0.8419  |     1.5085      |   0.2273   |    0.6060    | 0.3306  |
[ 41 /300 ]    | -1.3976  | -0.2312  |  0.8489  |     1.4495      |   0.2261   |    0.5001    | 0.3114  |
[ 42 /300 ]    | -1.3580  | -0.2550  |  0.8505  |     1.4087      |   0.2490   |    0.6519    | 0.3604  |
[ 43 /300 ]    | -1.3580  | -0.2794  |  0.8539  |     1.4070      |   0.2506   |    0.4895    | 0.3315  |
[ 44 /300 ]    | -1.3182  | -0.3136  |  0.8582  |     1.3651      |   0.2420   |    0.6468    | 0.3523  |
[ 45 /300 ]    | -1.2777  | -0.3077  |  0.8585  |     1.3230      |   0.3158   |    0.4626    | 0.3753  |
[ 46 /300 ]    | -1.2426  | -0.3136  |  0.8621  |     1.2871      |   0.2159   |    0.6205    | 0.3203  |
[ 47 /300 ]    | -1.2490  | -0.3279  |  0.8642  |     1.2937      |   0.2486   |    0.4436    | 0.3186  |
[ 48 /300 ]    | -1.2108  | -0.3317  |  0.8680  |     1.2511      |   0.2919   |    0.6149    | 0.3959  |
[ 49 /300 ]    | -1.1872  | -0.3508  |  0.8681  |     1.2315      |   0.2890   |    0.4312    | 0.3460  |
[ 50 /300 ]    | -1.1762  | -0.3617  |  0.8711  |     1.2162      |   0.2605   |    0.6408    | 0.3704  |
[ 51 /300 ]    | -1.1614  | -0.3353  |  0.8708  |     1.2029      |   0.2945   |    0.5946    | 0.3939  |
[ 52 /300 ]    | -1.1150  | -0.3541  |  0.8743  |     1.1536      |   0.2662   |    0.5796    | 0.3648  |
[ 53 /300 ]    | -1.1239  | -0.3804  |  0.8742  |     1.1635      |   0.3220   |    0.5080    | 0.3941  |
[ 54 /300 ]    | -1.1174  | -0.3662  |  0.8738  |     1.1587      |   0.3097   |    0.6244    | 0.4141  |
[ 55 /300 ]    | -1.0879  | -0.3542  |  0.8785  |     1.1251      |   0.2898   |    0.6258    | 0.3962  |
[ 56 /300 ]    | -1.1139  | -0.3655  |  0.8787  |     1.1506      |   0.3413   |    0.5636    | 0.4252  |
[ 57 /300 ]    | -1.0568  | -0.3594  |  0.8781  |     1.0945      |   0.3209   |    0.5560    | 0.4069  |
[ 58 /300 ]    | -1.0943  | -0.3717  |  0.8828  |     1.1330      |   0.3060   |    0.6159    | 0.4088  |
