Namespace(adv_steps=5, attSize=312, batch_size=64, beta1=0.5, class_embedding='att', classifier_lr=0.001, cls_weight=0.01, critic_iter=5, cuda=True, dataroot='/data0/docker/xingyun/mmcgan/data', dataset='CUB', drop_rate=0.2, epsilon=0.0625, fusion_iter=2, gzsl=True, hfSize=512, image_embedding='res101', lambda1=10.0, lr=0.0001, manualSeed=None, matdataset=True, nclass_all=200, ndh=4096, nepoch=100, netD='', netD_name='MLP_CRITIC', netG='', netG_name='MLP_G', ngh=4096, ngpu=1, nrh1=1024, nrh2=512, nrh3=256, nrh4=128, ntrain_class=150, nz=312, outf='./checkpoint/', outname='cub', preprocessing=True, pretrain_classifier='', print_every=1, r_hl=3, r_weight=1, resSize=2048, save_every=100, standardization=False, start_epoch=0, syn_num=800, triple_batch_size=128, val_every=1, validation=False, workers=2)
Random Seed:  2594
# of training samples:  7057
MLP_G(
  (fc1): Linear(in_features=624, out_features=4096)
  (fc2): Linear(in_features=4096, out_features=2048)
  (lrelu): LeakyReLU(0.2, inplace)
  (relu): ReLU(inplace)
)
robDis(
  (fc1): Linear(in_features=2360, out_features=4096)
  (bin): Linear(in_features=4096, out_features=1)
  (multi): Linear(in_features=4096, out_features=150)
  (relu): ReLU(inplace)
)
MLP_3HL_Dropout_R(
  (fc1): Linear(in_features=2048, out_features=1024)
  (fc2): Linear(in_features=1024, out_features=512)
  (fc3): Linear(in_features=512, out_features=256)
  (fc4): Linear(in_features=256, out_features=312)
  (relu): ReLU(inplace)
  (lrelu): LeakyReLU(0.2, inplace)
  (dropout): Dropout(p=0.2)
)
EPOCH          |  D_cost  |  G_cost  |  R_cost  |  ACC_unseen  |  ACC_seen  |    H    |
[ 43 /100 ]    |  0.8382  |  0.6245  |  0.9710  |    0.4177    |   0.5550   | 0.4767  |
[ 44 /100 ]    |  0.7615  |  0.7124  |  0.9680  |    0.4277    |   0.5323   | 0.4743  |
[ 45 /100 ]    |  0.8440  |  0.6567  |  0.9694  |    0.4281    |   0.5433   | 0.4789  |
[ 46 /100 ]    |  0.8363  |  0.6109  |  0.9723  |    0.4354    |   0.5246   | 0.4759  |
[ 47 /100 ]    |  0.7952  |  0.5674  |  0.9705  |    0.4526    |   0.5203   | 0.4841  |
[ 48 /100 ]    |  0.8081  |  0.6088  |  0.9685  |    0.4250    |   0.5399   | 0.4756  |
[ 49 /100 ]    |  0.8025  |  0.6882  |  0.9717  |    0.4155    |   0.5618   | 0.4777  |
[ 50 /100 ]    |  0.7816  |  0.6832  |  0.9726  |    0.4447    |   0.5292   | 0.4833  |
[ 51 /100 ]    |  0.8295  |  0.5662  |  0.9711  |    0.4432    |   0.5120   | 0.4751  |
[ 52 /100 ]    |  0.7424  |  0.6673  |  0.9754  |    0.4255    |   0.5501   | 0.4798  |
[ 53 /100 ]    |  0.7729  |  0.6597  |  0.9741  |    0.4354    |   0.5333   | 0.4794  |
[ 54 /100 ]    |  0.7472  |  0.6301  |  0.9732  |    0.4377    |   0.5301   | 0.4795  |
[ 55 /100 ]    |  0.7862  |  0.7452  |  0.9748  |    0.4235    |   0.5531   | 0.4797  |
[ 56 /100 ]    |  0.7215  |  0.5593  |  0.9742  |    0.4162    |   0.5674   | 0.4802  |
[ 57 /100 ]    |  0.8040  |  0.6055  |  0.9773  |    0.4207    |   0.5648   | 0.4822  |
[ 58 /100 ]    |  0.7772  |  0.6649  |  0.9746  |    0.4033    |   0.5931   | 0.4801  |
[ 59 /100 ]    |  0.8153  |  0.6763  |  0.9764  |    0.4279    |   0.5349   | 0.4754  |
[ 60 /100 ]    |  0.7959  |  0.6744  |  0.9778  |    0.4180    |   0.5689   | 0.4819  |
[ 61 /100 ]    |  0.8250  |  0.7809  |  0.9786  |    0.4329    |   0.5291   | 0.4762  |
[ 62 /100 ]    |  0.8223  |  0.6723  |  0.9788  |    0.4526    |   0.5096   | 0.4794  |
[ 63 /100 ]    |  0.8713  |  0.6273  |  0.9780  |    0.4125    |   0.5685   | 0.4781  |
[ 64 /100 ]    |  0.8315  |  0.6515  |  0.9783  |    0.4444    |   0.5262   | 0.4818  |
[ 65 /100 ]    |  0.7557  |  0.6650  |  0.9800  |    0.4411    |   0.5349   | 0.4835  |
[ 66 /100 ]    |  0.8108  |  0.5557  |  0.9785  |    0.4329    |   0.5443   | 0.4823  |
[ 67 /100 ]    |  0.8256  |  0.6921  |  0.9795  |    0.4199    |   0.5523   | 0.4771  |
[ 68 /100 ]    |  0.7910  |  0.6277  |  0.9782  |    0.4250    |   0.5594   | 0.4831  |
