Namespace(att_size=102, batch_size=128, bc=False, beta1=0.5, class_embedding='att', classifier_lr=0.001, cls_weight=0.01, consistency_weight=1, critic_iter=5, cuda=True, dataroot='/data0/docker/xingyun/mmcgan/data', dataset='SUN', drop_rate=0.2, gzsl=True, image_embedding='res101', lambda1=10.0, lr=0.0002, manualSeed=4115, matdataset=True, nclass_all=717, dis_hu=4096, nepoch=300, netD='', netD_name='MLP_CRITIC', netG='', netG_name='MLP_G', gen_hu=4096, ngpu=1, njh=170, nrgh=4096, nrgh1=1024, nrgh2=512, nrgh3=256, nrgh4=128, nrh=4096, nrh1=1024, nrh2=512, nrh3=256, nrh4=128, nz=102, outf='./checkpoint/', outname='sun', preprocessing=True, pretrain_classifier='', print_every=1, r_hl=4, r_iteration=3, r_nz=2048, r_path='/home/xingyun/docker/mmcgan/r_param', r_weight=1, res_size=2048, reverse_iter=5, rg_hl=1, save_every=100, standardization=False, start_epoch=0, syn_num=600, val_every=1, validation=False, workers=2)
Random Seed:  4115
# of training samples:  10320
MLP_G(
  (fc1): Linear(in_features=204, out_features=4096)
  (fc2): Linear(in_features=4096, out_features=2048)
  (lrelu): LeakyReLU(0.2, inplace)
  (relu): ReLU(inplace)
)
MLP_CRITIC(
  (fc1): Linear(in_features=2150, out_features=4096)
  (fc2): Linear(in_features=4096, out_features=1)
  (lrelu): LeakyReLU(0.2, inplace)
)
MLP_4HL_Dropout_R(
  (fc1): Linear(in_features=2048, out_features=1024)
  (fc2): Linear(in_features=1024, out_features=512)
  (fc3): Linear(in_features=512, out_features=256)
  (fc4): Linear(in_features=256, out_features=128)
  (fc5): Linear(in_features=128, out_features=102)
  (relu): ReLU(inplace)
  (lrelu): LeakyReLU(0.2, inplace)
  (dropout): Dropout(p=0.2)
)
EPOCH          |  D_cost  |  G_cost  |  R_cost  |  Wasserstein_D  |  ACC_unseen  |  ACC_seen  |    H    |
[ 1  /300 ]    | -1.3698  | -0.1689  |  0.8252  |     1.4109      |    0.0833    |   0.1798   | 0.1139  |
[ 2  /300 ]    | -0.8151  | -0.2065  |  0.8381  |     0.8536      |    0.1910    |   0.2504   | 0.2167  |
[ 3  /300 ]    | -0.6865  | -0.1294  |  0.8631  |     0.7196      |    0.2660    |   0.2628   | 0.2644  |
[ 4  /300 ]    | -0.6409  | -0.1988  |  0.9081  |     0.7081      |    0.2757    |   0.3058   | 0.2900  |
[ 5  /300 ]    | -0.6512  | -0.3618  |  0.9184  |     0.7047      |    0.3056    |   0.3194   | 0.3123  |
[ 6  /300 ]    | -0.7215  | -0.4211  |  0.9232  |     0.7543      |    0.3410    |   0.3078   | 0.3235  |
[ 7  /300 ]    | -0.7497  | -0.2663  |  0.9318  |     0.7808      |    0.3563    |   0.3070   | 0.3298  |
[ 8  /300 ]    | -0.7789  | -0.6059  |  0.9275  |     0.8176      |    0.3618    |   0.3147   | 0.3366  |
[ 9  /300 ]    | -0.7937  | -0.6650  |  0.9374  |     0.8134      |    0.3667    |   0.3140   | 0.3383  |
[ 10 /300 ]    | -0.8406  | -0.9628  |  0.9355  |     0.8659      |    0.3854    |   0.3027   | 0.3391  |
[ 11 /300 ]    | -0.8449  | -0.8698  |  0.9387  |     0.8900      |    0.3972    |   0.3078   | 0.3468  |
[ 12 /300 ]    | -0.7681  | -1.2576  |  0.9442  |     0.7938      |    0.4076    |   0.3039   | 0.3482  |
[ 13 /300 ]    | -0.7495  | -1.0835  |  0.9485  |     0.8078      |    0.4062    |   0.3081   | 0.3505  |
[ 14 /300 ]    | -0.8296  | -1.2120  |  0.9410  |     0.8778      |    0.4181    |   0.3031   | 0.3514  |
[ 15 /300 ]    | -0.8515  | -1.3843  |  0.9467  |     0.8939      |    0.4188    |   0.3178   | 0.3614  |
